Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Blakey, Nick",11.0,2.0,3.0,14.0,,,,3.0,2.0,1.0,,3.0,1.0,1.0,,4.0,7.0,,,4.0,2.0,,75.0
16,"Campbell, Braeden",,,,,,,,,,,,,,,,,,,,,,,
4,"Clarke, Ryan",5.0,2.0,12.0,17.0,,1.0,,3.0,2.0,1.0,3.0,3.0,,,,7.0,11.0,,,1.0,,,92.0
13,"Florent, Oliver",11.0,6.0,6.0,17.0,,,,3.0,1.0,3.0,,2.0,2.0,1.0,,7.0,11.0,1.0,,2.0,,1.0,84.0
42,"Fox, Robbie",16.0,10.0,3.0,19.0,,,,2.0,4.0,,,6.0,1.0,1.0,,5.0,15.0,,,2.0,,,97.0
23,"Franklin, Lance",12.0,3.0,3.0,15.0,3.0,1.0,,1.0,,3.0,,5.0,1.0,,1.0,6.0,7.0,,1.0,2.0,1.0,2.0,95.0
21,"Gulden, Errol",14.0,4.0,4.0,18.0,1.0,,,4.0,2.0,6.0,1.0,4.0,2.0,2.0,,4.0,14.0,,,,,,77.0
9,"Hayward, Will",10.0,5.0,6.0,16.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,,,5.0,11.0,2.0,1.0,,,1.0,80.0
5,"Heeney, Isaac",8.0,3.0,9.0,17.0,2.0,3.0,,6.0,,1.0,1.0,3.0,,,,7.0,10.0,,2.0,2.0,,1.0,82.0
31,"Hickey, Tom",9.0,3.0,10.0,19.0,,,27.0,3.0,,1.0,3.0,5.0,2.0,3.0,,18.0,3.0,1.0,,5.0,,,75.0
44,"Lloyd, Jake",15.0,6.0,3.0,18.0,,,,8.0,7.0,2.0,2.0,5.0,1.0,1.0,,4.0,10.0,,,2.0,,,85.0
39,"McCartin, Paddy",13.0,5.0,4.0,17.0,,,,,,,1.0,2.0,3.0,2.0,,8.0,11.0,1.0,,5.0,,,78.0
30,"McCartin, Tom",4.0,3.0,3.0,7.0,,,,,2.0,1.0,,,,,,4.0,3.0,1.0,,10.0,,,96.0
6,"McDonald, Logan",4.0,4.0,6.0,10.0,,1.0,,,,1.0,,2.0,,1.0,,8.0,4.0,,1.0,4.0,,,65.0
27,"McInerney, Justin",12.0,5.0,6.0,18.0,,,,,3.0,4.0,2.0,1.0,,,,4.0,14.0,,,,,1.0,72.0
14,"Mills, Callum",18.0,9.0,11.0,29.0,,1.0,,7.0,3.0,5.0,6.0,5.0,,1.0,3.0,13.0,17.0,1.0,1.0,2.0,,,88.0
11,"Papley, Tom",9.0,4.0,5.0,14.0,2.0,1.0,,2.0,2.0,1.0,2.0,1.0,,,,5.0,10.0,1.0,1.0,2.0,,,80.0
26,"Parker, Luke",15.0,7.0,11.0,26.0,,,,8.0,3.0,2.0,8.0,4.0,,,2.0,13.0,14.0,,,1.0,,,88.0
24,"Rampe, Dane",8.0,2.0,4.0,12.0,1.0,,,3.0,2.0,2.0,,4.0,,3.0,,2.0,9.0,,,7.0,,,85.0
20,"Reid, Sam",7.0,6.0,10.0,17.0,,1.0,3.0,5.0,,4.0,3.0,4.0,1.0,1.0,,10.0,7.0,3.0,2.0,5.0,,,80.0
8,"Rowbottom, James",18.0,1.0,6.0,24.0,1.0,,,8.0,4.0,6.0,7.0,4.0,1.0,,,13.0,11.0,,,2.0,,,71.0
3,"Stephens, Dylan",15.0,4.0,6.0,21.0,,,,1.0,2.0,4.0,1.0,1.0,2.0,,,7.0,15.0,,,1.0,,,70.0
1,"Warner, Chad",16.0,3.0,9.0,25.0,,1.0,,3.0,5.0,6.0,5.0,7.0,1.0,1.0,,12.0,13.0,1.0,,,,1.0,85.0
Totals,Totals,250.0,97.0,140.0,390.0,11.0,11.0,30.0,72.0,44.0,55.0,46.0,73.0,18.0,18.0,6.0,166.0,227.0,12.0,9.0,59.0,3.0,7.0,
Opposition,Opposition,198.0,70.0,124.0,322.0,7.0,8.0,51.0,53.0,43.0,52.0,37.0,59.0,18.0,17.0,,137.0,170.0,10.0,5.0,45.0,8.0,4.0,
