Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game],Fitzroy Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
39,"Abbott, Paul",5,6,3,8,1,,2.0,1.0,,,,,,1.0,,,,,,,,,
14,"Armstrong, Matt",6,1,2,8,,,,1.0,,,,,,1.0,,,,,,,,,
32,"Baldwin, Jason",11,1,10,21,1,,,2.0,,,,,,,,,,,,,,,
34,"Boyd, Brad",7,3,9,16,,,,1.0,,,,,6.0,,,,,,,,,,
17,"Broderick, Paul",9,4,15,24,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
22,"Caven, Peter",5,6,9,14,,,,,,,,,1.0,,,,,,,,,,
2,"Dundas, Matthew",8,4,11,19,,,,3.0,,,,,3.0,3.0,,,,,,,,,
7,"Gale, Michael",8,3,8,16,,,,2.0,,,,,,3.0,,,,,,,,,
6,"Guard, Jeremy",9,6,5,14,,1.0,,2.0,,,,,2.0,,,,,,,,,,
11,"Lynch, Alastair",6,2,3,9,2,,,1.0,,,,,,1.0,,,,,,,,,
29,"Lyon, Ross",19,5,6,25,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
5,"McCormack, Brendan",17,3,8,25,,,,,,,,,3.0,2.0,,,,,,,,,
21,"Morrish, Paul",,,1,1,,,,,,,,,,,,,,,,,,,
4,"Paxman, Stephen",2,3,10,12,,,13.0,3.0,,,,,2.0,2.0,,,,,,,,,
1,"Roos, Paul",21,8,9,30,,,,1.0,,,,,,1.0,,,,,,,,,
3,"Seecamp, Marcus",7,2,3,10,,,,1.0,,,,,1.0,2.0,,,,,,,,,
33,"Stephens, Brett",10,3,6,16,,,,,,,,,,,,,,,,,,,
13,"Stevenson, Shayne",8,6,3,11,2,1.0,,,,,,,1.0,1.0,,,,,,,,,
12,"Wheildon, Darren",13,8,3,16,6,6.0,,,,,,,1.0,1.0,1.0,,,,,,,,
8,"Wynd, Jim",12,2,6,18,,,,3.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,76,130,313,13,11.0,15.0,24.0,,,,,24.0,21.0,1.0,,,,,,,,
Opposition,Opposition,226,103,142,368,22,13.0,23.0,23.0,,,,,21.0,24.0,5.0,,,,,,,,
