Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",21y 172d,38 (17-0-21 44.74%),7 (0.18),←,
46,"Begley, Colm",20y 248d,8 (4-0-4 50.00%),3 (0.38),←,
20,"Black, Simon",28y 33d,197 (125-1-71 63.71%),128 (0.65),←,
17,"Brennan, Jared",22y 282d,44 (24-0-20 54.55%),23 (0.52),←,
16,"Brown, Jonathan",25y 189d,123 (87-0-36 70.73%),206 (1.67),←,
19,"Charman, Jamie",24y 294d,91 (59-1-31 65.38%),37 (0.41),←,
30,"Copeland, Robert",25y 345d,115 (73-0-42 63.48%),20 (0.17),←,
4,"Fixter, Ben",25y 317d,52 (24-0-28 46.15%),11 (0.21),25 (10-0-15 40.00%),3 (0.12)
14,"Hadley, Richard",24y 38d,31 (22-0-9 70.97%),8 (0.26),←,
5,"Harding, Scott",20y 321d,20 (9-0-11 45.00%),4 (0.20),←,
2,"Johnson, Chris",30y 341d,258 (127-3-128 49.81%),168 (0.65),199 (120-3-76 61.06%),101 (0.51)
44,"Lappin, Nigel",30y 319d,259 (155-4-100 60.62%),171 (0.66),198 (123-3-72 62.88%),131 (0.66)
43,"McDonald, Beau",27y 184d,88 (58-1-29 66.48%),19 (0.22),←,
9,"McGrath, Ashley",23y 351d,89 (52-1-36 58.99%),90 (1.01),←,
21,"Merrett, Daniel",22y 145d,30 (13-0-17 43.33%),16 (0.53),←,
8,"Notting, Tim",28y 197d,162 (101-1-60 62.65%),115 (0.71),←,
24,"Patfull, Joel",22y 150d,21 (9-0-12 42.86%),9 (0.43),←,
6,"Power, Luke",27y 118d,182 (112-1-69 61.81%),180 (0.99),←,
35,"Rischitelli, Michael",21y 118d,28 (13-0-15 46.43%),14 (0.50),←,
29,"Roe, Jason",23y 54d,19 (8-0-11 42.11%),4 (0.21),←,
11,"Sherman, Justin",20y 100d,47 (20-0-27 42.55%),36 (0.77),←,
32,"Stiller, Cheynee",21y 3d,19 (7-0-12 36.84%),8 (0.42),←,
Totals,Totals,24y 196d,1921 (1119-13-789 58.25%),1277 (0.66),,
C,"Matthews, Leigh",55y 66d,423 (252-6-165 60.28%),,199 (127-1-71 64.07%),
