Notes,Previous,Current
Greater Western Sydney's highest score,"69 v West Coast - R3,2012","162 v Essendon - R23,2023"
Greater Western Sydney's lowest score conceded,"96 v Adelaide - R4,2012","23 v Richmond - R19,2016"
