St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Armitage, David",4,2,3,7,2,,,3.0,,1.0,2.0,3.0,1.0,2.0,,3.0,3.0,,,1.0,,,63.0
10,"Baker, Steven",3,3,10,13,,,,6.0,1.0,,1.0,1.0,1.0,1.0,,3.0,10.0,,,,,,97.0
14,"Ball, Luke",5,1,5,10,,,,3.0,,,1.0,,1.0,,,3.0,8.0,,,1.0,,2.0,75.0
27,"Blake, Jason",6,5,7,13,,,,3.0,1.0,1.0,,,1.0,,,3.0,9.0,,,5.0,2.0,1.0,80.0
16,"Clarke, Raphael",3,,6,9,,,,4.0,1.0,3.0,1.0,,,,,3.0,5.0,,,2.0,,,92.0
26,"Dal Santo, Nick",15,4,12,27,1,,,7.0,4.0,5.0,9.0,3.0,,,,12.0,13.0,,,1.0,5.0,,85.0
43,"Dawson, Zac",2,2,1,3,,,,2.0,,,,1.0,,1.0,,,3.0,,,3.0,,,97.0
24,"Dempster, Sean",5,5,3,8,,1.0,,5.0,,1.0,,1.0,,1.0,,3.0,6.0,1.0,1.0,4.0,2.0,,78.0
25,"Fisher, Sam",7,3,7,14,2,,,1.0,,2.0,1.0,3.0,1.0,1.0,,2.0,11.0,,1.0,3.0,,,100.0
15,"Gardiner, Michael",4,7,4,8,,1.0,22.0,2.0,,1.0,,1.0,,1.0,,2.0,6.0,1.0,1.0,2.0,,,56.0
19,"Gilbert, Sam",8,6,5,13,,,,,3.0,1.0,1.0,5.0,,3.0,,2.0,10.0,,,3.0,,,80.0
18,"Goddard, Brendon",12,2,6,18,,,,3.0,4.0,5.0,1.0,,,,,5.0,12.0,,,2.0,3.0,1.0,72.0
1,"Gram, Jason",14,5,11,25,,2.0,,4.0,3.0,4.0,3.0,2.0,,,,9.0,16.0,1.0,1.0,1.0,4.0,,91.0
7,"Hayes, Lenny",12,6,9,21,,,1.0,10.0,2.0,4.0,2.0,1.0,1.0,1.0,,4.0,17.0,,,2.0,3.0,,81.0
8,"Hudghton, Max",2,2,4,6,,,,4.0,,,,4.0,1.0,3.0,,2.0,4.0,,,3.0,,,80.0
2,"King, Steven",4,1,2,6,,,21.0,2.0,,1.0,2.0,,4.0,,,5.0,1.0,1.0,,,,,48.0
23,"Koschitzke, Justin",9,9,2,11,3,2.0,,1.0,,1.0,,3.0,,,1.0,7.0,4.0,5.0,5.0,,,,90.0
44,"Milne, Stephen",9,2,3,12,3,2.0,,2.0,2.0,1.0,1.0,5.0,2.0,4.0,,6.0,5.0,,1.0,2.0,,1.0,95.0
11,"Montagna, Leigh",15,3,10,25,,,,9.0,1.0,5.0,7.0,3.0,2.0,1.0,,14.0,14.0,,,5.0,1.0,1.0,81.0
22,"Ray, Farren",9,3,11,20,,,,1.0,3.0,3.0,1.0,1.0,,1.0,,8.0,12.0,1.0,,,,1.0,83.0
12,"Riewoldt, Nick",15,11,1,16,2,3.0,,2.0,1.0,5.0,,2.0,1.0,1.0,,6.0,10.0,3.0,3.0,,,,96.0
13,"Schneider, Adam",6,4,5,11,3,,,6.0,,1.0,1.0,1.0,1.0,1.0,,4.0,6.0,1.0,2.0,1.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,169,86,127,296,16,12.0,44.0,80.0,26.0,45.0,34.0,40.0,17.0,22.0,1.0,106.0,185.0,14.0,15.0,41.0,20.0,7.0,
Opposition,Opposition,203,102,176,379,16,14.0,33.0,68.0,26.0,47.0,34.0,35.0,22.0,17.0,5.0,130.0,248.0,10.0,17.0,40.0,12.0,8.0,
