Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Barker, John",4,2,3,7,2,,1.0,2.0,,1.0,,1.0,,,,5.0,1.0,1.0,1.0,2.0,,,
22,"Bowyer, Glen",8,1,2,10,,,,2.0,,3.0,2.0,1.0,1.0,2.0,,3.0,4.0,,,3.0,,,
17,"Chick, Daniel",17,1,5,22,1,1.0,,6.0,1.0,3.0,2.0,1.0,1.0,,,11.0,4.0,,,1.0,,,
25,"Clarke, Tim",4,1,3,7,,,,,,,,,,,,2.0,4.0,,,2.0,,,
9,"Crawford, Shane",15,5,11,26,1,,1.0,3.0,4.0,6.0,3.0,3.0,,1.0,,13.0,13.0,,,,,,
24,"Croad, Trent",10,5,1,11,,1.0,1.0,,,4.0,1.0,,,,,2.0,9.0,1.0,1.0,1.0,,,
19,"Dixon, Ben",14,4,5,19,2,1.0,,2.0,2.0,3.0,1.0,,1.0,1.0,,10.0,8.0,,1.0,2.0,,,
34,"Graham, Mark",16,4,2,18,,,,5.0,6.0,2.0,,,3.0,,,6.0,8.0,,1.0,1.0,1.0,,
29,"Greene, Steven",8,1,,8,,1.0,,1.0,,3.0,1.0,1.0,1.0,,,4.0,3.0,,,,,,
5,"Harford, Daniel",15,5,8,23,,2.0,,3.0,4.0,2.0,5.0,5.0,2.0,3.0,,10.0,12.0,1.0,1.0,6.0,,,
3,"Hay, Jonathan",3,1,,3,,,,2.0,1.0,,,1.0,,3.0,,1.0,2.0,,,2.0,,,
37,"Lekkas, Angelo",16,5,7,23,,2.0,,7.0,1.0,8.0,4.0,2.0,2.0,,,10.0,14.0,,1.0,2.0,,,
15,"Lord, Aaron",12,2,7,19,5,1.0,,1.0,,2.0,3.0,1.0,1.0,3.0,3.0,12.0,7.0,1.0,1.0,3.0,,,
7,"McCabe, Luke",17,10,3,20,,,,4.0,5.0,3.0,1.0,2.0,,1.0,,3.0,19.0,,1.0,5.0,,,
18,"McPharlin, Luke",8,8,6,14,,1.0,,3.0,,2.0,,2.0,,2.0,,11.0,3.0,5.0,1.0,,,,
13,"Picioane, Lance",14,2,5,19,,1.0,,5.0,,5.0,3.0,,,2.0,2.0,6.0,9.0,,1.0,1.0,,,
20,"Rawlings, Jade",15,7,6,21,,,2.0,,5.0,2.0,1.0,3.0,1.0,,,7.0,11.0,1.0,,2.0,,,
52,"Rehn, Shaun",9,4,2,11,,,6.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,,8.0,3.0,2.0,,4.0,,,
11,"Smith, Joel",14,1,2,16,,,,,6.0,1.0,1.0,1.0,2.0,,,5.0,7.0,,,1.0,1.0,,
4,"Tallis, Rayden",11,6,6,17,,,,1.0,2.0,4.0,,1.0,,3.0,,5.0,11.0,,1.0,1.0,,,
23,"Thompson, Nathan",6,1,3,9,,2.0,1.0,,,2.0,,1.0,2.0,,,6.0,3.0,,,2.0,,,
30,"Woods, Tony",4,1,4,8,,,,,,1.0,2.0,,,,,5.0,3.0,,,3.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,240,77,91,331,11,17.0,12.0,49.0,39.0,61.0,31.0,28.0,18.0,22.0,5.0,145.0,158.0,12.0,11.0,44.0,2.0,,
Opposition,Opposition,193,37,98,291,5,14.0,32.0,36.0,39.0,49.0,37.0,26.0,22.0,18.0,1.0,143.0,133.0,7.0,5.0,34.0,2.0,,
