0,1,2,3,4,5,6
←,"Round: 9 Venue: Subiaco Date: Sun, 28-May-1995 2:15 PM (4:15 PM) Attendance: 17574","Round: 9 Venue: Subiaco Date: Sun, 28-May-1995 2:15 PM (4:15 PM) Attendance: 17574","Round: 9 Venue: Subiaco Date: Sun, 28-May-1995 2:15 PM (4:15 PM) Attendance: 17574","Round: 9 Venue: Subiaco Date: Sun, 28-May-1995 2:15 PM (4:15 PM) Attendance: 17574","Round: 9 Venue: Subiaco Date: Sun, 28-May-1995 2:15 PM (4:15 PM) Attendance: 17574",→
←,Fremantle,3.4.22,9.9.63,13.15.93,17.18.120,→
←,Brisbane Bears,4.2.26,5.2.32,5.5.35,8.6.54,→
←,Qrt margin,BB by 4,FR by 31,FR by 58,FR by 66,→
←,Qrt scores,BB 26-22,FR 41-6,FR 30-3,FR 27-19,→
←,Field umpires,"Peter Carey (214), Anton McKernan (57), Richard Williams (3)","Peter Carey (214), Anton McKernan (57), Richard Williams (3)","Peter Carey (214), Anton McKernan (57), Richard Williams (3)","Peter Carey (214), Anton McKernan (57), Richard Williams (3)",→
