Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game],Port Adelaide Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Boak, Travis",13,1,12,25,1,3.0,,5.0,2.0,4.0,7.0,1.0,,,,13.0,11.0,,,,,,79.0
5,"Broadbent, Matthew",10,4,4,14,,,1.0,3.0,1.0,4.0,3.0,,,,,7.0,7.0,,,1.0,,,80.0
32,"Butcher, John",2,1,2,4,1,1.0,,2.0,,,,,,,,4.0,,1.0,1.0,1.0,,,80.0
27,"Carlile, Alipate",8,5,3,11,,,,,4.0,1.0,,,1.0,,,4.0,6.0,1.0,,5.0,,,95.0
30,"Chaplin, Troy",15,10,7,22,,1.0,,5.0,5.0,2.0,2.0,2.0,,,,5.0,17.0,,,2.0,,1.0,100.0
18,"Cornes, Kane",8,2,9,17,,,,3.0,1.0,2.0,1.0,2.0,,1.0,,6.0,11.0,,,2.0,,,88.0
7,"Ebert, Brad",12,5,8,20,,1.0,1.0,4.0,,3.0,5.0,4.0,1.0,2.0,,11.0,10.0,,,4.0,,1.0,85.0
33,"Ebert, Brett",6,2,1,7,1,,,1.0,,1.0,1.0,3.0,1.0,1.0,,3.0,4.0,,1.0,,,1.0,90.0
16 ↑,"Jacobs, Ben",2,2,3,5,,,,3.0,,,,1.0,,,,3.0,2.0,1.0,,1.0,,,31.0
42,"Jonas, Tom",5,2,6,11,,,,3.0,4.0,1.0,,,1.0,,,3.0,8.0,,,5.0,,1.0,93.0
23,"Lobbe, Matthew",8,4,5,13,,1.0,12.0,4.0,1.0,,2.0,5.0,2.0,3.0,,7.0,6.0,1.0,,3.0,,,84.0
44,"Logan, Tom",6,6,4,10,,,,3.0,1.0,,,2.0,1.0,2.0,,5.0,5.0,2.0,,3.0,,,92.0
35,"McCarthy, John",8,1,8,16,,,,2.0,1.0,3.0,2.0,5.0,,,,6.0,9.0,,,1.0,,,78.0
26,"Moore, Andrew",9,2,5,14,,,1.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,,5.0,10.0,,,2.0,,,78.0
6,"Pearce, Danyle",9,,6,15,,,,4.0,2.0,1.0,1.0,4.0,,1.0,,5.0,10.0,,,1.0,2.0,,89.0
31,"Pfeiffer, Darren",11,5,7,18,,1.0,,4.0,7.0,,2.0,3.0,2.0,1.0,,10.0,7.0,3.0,,5.0,1.0,,85.0
14,"Stewart, Paul",12,8,2,14,4,,,3.0,1.0,,1.0,2.0,1.0,1.0,,6.0,8.0,1.0,2.0,1.0,,,76.0
9,"Surjan, Jacob",5,2,3,8,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,5.0,,,4.0,,,95.0
12,"Trengove, Jackson",4,3,5,9,,,5.0,3.0,1.0,2.0,,,,,,5.0,5.0,,,2.0,,1.0,82.0
39,"Westhoff, Justin",11,7,4,15,,,3.0,1.0,,5.0,2.0,2.0,3.0,2.0,,7.0,8.0,2.0,,2.0,,1.0,86.0
20 ↓,"Wingard, Chad",2,2,4,6,1,,,1.0,,1.0,,1.0,,,,1.0,5.0,,1.0,,,,52.0
40,"Young, Aaron",5,3,4,9,,,,2.0,,1.0,1.0,,1.0,,,5.0,4.0,,,1.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,171,77,112,283,8,10.0,23.0,62.0,33.0,35.0,34.0,41.0,17.0,15.0,,123.0,158.0,12.0,5.0,46.0,3.0,6.0,
Opposition,Opposition,244,105,118,362,17,14.0,64.0,60.0,25.0,59.0,48.0,36.0,15.0,17.0,6.0,146.0,222.0,14.0,20.0,60.0,9.0,14.0,
