Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bennett, Darren",7,8.0,3,10,5.0,2.0,1.0,,,,,,,1.0,,,,,,,,,
24,"Beveridge, Luke",15,3.0,5,20,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
4,"Campbell, Tony",10,6.0,3,13,,,,,,,,,1.0,4.0,,,,,,,,,
32,"Clark, Steven",7,2.0,7,14,,1.0,,2.0,,,,,1.0,,,,,,,,,,
48,"Cuthbertson, Darren",11,6.0,3,14,7.0,2.0,,1.0,,,,,,2.0,,,,,,,,,
23,"Dyson, Kevin",21,3.0,6,27,,,,1.0,,,,,,,2.0,,,,,,,,
21,"Febey, Steven",9,2.0,5,14,,,,2.0,,,,,3.0,,,,,,,,,,
43,"Ford, Andrew",6,1.0,4,10,1.0,,,3.0,,,,,,,,,,,,,,,
14,"Grinter, Rod",5,1.0,2,7,,,,,,,,,,,,,,,,,,,
31,"Keogh, Rod",12,4.0,3,15,1.0,2.0,,1.0,,,,,2.0,2.0,,,,,,,,,
17,"Lovett, Brett",15,6.0,11,26,,,,2.0,,,,,,,3.0,,,,,,,,
6,"Lovett, Glenn",14,8.0,9,23,1.0,2.0,,2.0,,,,,2.0,1.0,,,,,,,,,
3,"Lyon, Garry",12,7.0,9,21,,,,1.0,,,,,,1.0,,,,,,,,,
7,"Owen, Rod",8,3.0,3,11,1.0,1.0,,,,,,,,5.0,,,,,,,,,
41,"Rohde, Peter",5,2.0,4,9,,,,,,,,,1.0,1.0,,,,,,,,,
5,"Spalding, Earl",5,5.0,4,9,1.0,,,1.0,,,,,,,,,,,,,,,
23,"Spencer, Trevor",4,2.0,3,7,,,,1.0,,,,,,2.0,,,,,,,,,
18,"Stretch, Steven",15,,2,17,,,,,,,,,2.0,1.0,,,,,,,,,
11,"Stynes, Jim",14,7.0,5,19,,,15.0,,,,,,,2.0,,,,,,,,,
12,"Viney, Todd",24,7.0,9,33,,,,1.0,,,,,1.0,3.0,1.0,,,,,,,,
Totals,Totals,219,83.0,100,319,17.0,11.0,16.0,19.0,,,,,14.0,26.0,6.0,,,,,,,,
Opposition,Opposition,216,74.0,130,346,10.0,17.0,21.0,27.0,,,,,26.0,14.0,,,,,,,,,
