Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",21,4,14,35,1,2.0,,8.0,2.0,9.0,8.0,4.0,2.0,2.0,1.0,15.0,17.0,,,6.0,1.0,,92.0
23,"Ablett, Nathan",7,4,3,10,1,2.0,1.0,4.0,,,2.0,,1.0,,,5.0,5.0,1.0,3.0,1.0,,,82.0
3,"Bartel, Jimmy",12,5,9,21,1,1.0,6.0,12.0,1.0,1.0,3.0,1.0,2.0,1.0,,9.0,12.0,,,4.0,,,88.0
24,"Blake, Mark",3,1,3,6,,1.0,21.0,1.0,,1.0,1.0,,,,,1.0,5.0,,,3.0,,,52.0
35,"Chapman, Paul",16,2,3,19,1,,1.0,6.0,1.0,4.0,3.0,2.0,1.0,2.0,,9.0,10.0,,,2.0,,,86.0
11,"Corey, Joel",8,,6,14,,,,12.0,1.0,4.0,1.0,1.0,2.0,,,6.0,9.0,,,4.0,1.0,,82.0
19,"Egan, Matthew",9,4,9,18,,,,3.0,4.0,,1.0,,,,,7.0,9.0,1.0,,7.0,,,98.0
44,"Enright, Corey",4,2,2,6,,,,5.0,1.0,,,1.0,,1.0,,2.0,3.0,,,3.0,,,82.0
2,"Harley, Tom",10,6,5,15,,,,3.0,2.0,1.0,,3.0,,,2.0,7.0,8.0,2.0,,4.0,,,93.0
20,"Johnson, Steve",17,4,6,23,3,2.0,,6.0,,5.0,2.0,5.0,1.0,3.0,3.0,13.0,8.0,1.0,2.0,,,3.0,89.0
9,"Kelly, James",8,,11,19,,,,9.0,1.0,1.0,5.0,5.0,,,,14.0,4.0,,,2.0,,,83.0
45,"Ling, Cameron",10,3,5,15,,,,5.0,1.0,5.0,,,,,,5.0,9.0,2.0,1.0,1.0,,,88.0
4,"Mackie, Andrew",12,5,5,17,1,,,1.0,,2.0,1.0,2.0,,,,6.0,10.0,,1.0,,,,66.0
39,"Milburn, Darren",8,5,9,17,,,,2.0,5.0,1.0,1.0,1.0,,,,8.0,8.0,,,3.0,,1.0,95.0
21,"Mooney, Cameron",10,6,4,14,1,1.0,,1.0,,6.0,,1.0,2.0,1.0,,6.0,8.0,1.0,3.0,,,,95.0
6,"Ottens, Brad",4,3,8,12,,,33.0,7.0,1.0,2.0,4.0,3.0,5.0,2.0,,11.0,2.0,1.0,,6.0,,,57.0
30,"Scarlett, Matthew",19,10,3,22,,,,1.0,6.0,1.0,,2.0,1.0,,,1.0,20.0,,,6.0,2.0,,100.0
14,"Selwood, Joel",18,5,9,27,,,,8.0,2.0,8.0,9.0,4.0,2.0,,,14.0,11.0,,,3.0,,1.0,76.0
27,"Stokes, Mathew",6,1,8,14,1,1.0,,7.0,,4.0,,1.0,1.0,1.0,,7.0,7.0,,,6.0,,1.0,81.0
10,"Tenace, Kane",7,3,6,13,,,,4.0,2.0,,3.0,,,,,5.0,6.0,,,,,,62.0
5,"Varcoe, Travis",7,3,10,17,1,,,3.0,,4.0,2.0,,,,,7.0,7.0,,1.0,4.0,,,75.0
40,"Wojcinski, David",9,1,6,15,1,,,5.0,1.0,2.0,1.0,,,,,4.0,10.0,,,1.0,,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,225,77,144,369,12,13.0,62.0,113.0,31.0,61.0,47.0,36.0,20.0,13.0,6.0,162.0,188.0,9.0,11.0,66.0,4.0,6.0,
Opposition,Opposition,174,45,97,271,5,5.0,51.0,111.0,43.0,37.0,56.0,53.0,13.0,20.0,,150.0,109.0,7.0,1.0,54.0,2.0,3.0,
