North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",23y 314d,81 (38-1-42 47.53%),79 (0.98),←,
13,"Bardsley, Kristian",19y 204d,2 (1-0-1 50.00%),1 (0.50),←,
18,"Carey, Wayne",20y 313d,41 (22-0-19 53.66%),68 (1.66),←,
23,"Clarkson, Alastair",23y 343d,54 (23-2-29 44.44%),53 (0.98),←,
27,"Crocker, Darren",25y 9d,83 (39-1-43 47.59%),48 (0.58),←,
5,"Dennis, Richard",25y 248d,59 (40-0-19 67.80%),40 (0.68),2 (1-0-1 50.00%),
28,"Dwyer, Anthony",22y 94d,4 (2-0-2 50.00%),5 (1.25),←,
6,"Fairley, Ian",27y 199d,127 (62-2-63 49.61%),138 (1.09),←,
31,"Gallagher, Michael",25y 331d,52 (33-1-18 64.42%),23 (0.44),36 (23-0-13 63.89%),6 (0.17)
29,"German, Peter",27y 62d,147 (73-3-71 50.68%),176 (1.20),←,
9,"Larkin, Matthew",27y 229d,149 (77-3-69 52.68%),129 (0.87),←,
35,"Longmire, John",21y 95d,72 (33-1-38 46.53%),225 (3.13),←,
4,"Martyn, Mick",23y 217d,78 (37-1-40 48.08%),5 (0.06),←,
16,"McCarthy, John",25y 5d,78 (35-1-42 45.51%),86 (1.10),←,
25,"McDonald, Donald",29y 330d,146 (70-3-73 48.97%),158 (1.08),←,
3,"Rock, Anthony",21y 188d,41 (21-0-20 51.22%),43 (1.05),←,
24,"Sholl, Craig",24y 96d,45 (25-0-20 55.56%),8 (0.18),←,
15,"Smith, Ross",27y 61d,135 (62-2-71 46.67%),27 (0.20),←,
1,"Spargo, Paul",25y 178d,66 (33-2-31 51.52%),97 (1.47),←,
7,"Steele, Darren",25y 357d,106 (44-1-61 41.98%),30 (0.28),←,
Totals,Totals,24y 248d,1566 (770-24-772 49.17%),1439 (0.92),,
C,"Schimmelbusch, Wayne",39y 76d,46 (25-0-21 54.35%),,←,
