St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
26,"Battle, Josh",8,4.0,6,14,,,2.0,4.0,3.0,2.0,1.0,1.0,1.0,,,6.0,8,,,2.0,,,65.0
15,"Billings, Jack",12,6.0,6,18,1.0,1.0,,,3.0,1.0,2.0,2.0,1.0,,,6.0,11,,,,,1.0,82.0
16,"Butler, Dan",5,1.0,1,6,1.0,,,1.0,,3.0,1.0,1.0,,1.0,,4.0,2,,,,1.0,,83.0
2,"Carlisle, Jake",9,7.0,3,12,,,4.0,,4.0,,,,2.0,,,4.0,9,1.0,,7.0,,,90.0
11,"Clark, Hunter",10,1.0,8,18,,,,,1.0,2.0,4.0,1.0,1.0,1.0,,6.0,10,,,,,,82.0
1,"Coffield, Nick",5,6.0,7,12,,,,1.0,1.0,,,3.0,,2.0,,4.0,8,,,1.0,,,88.0
14,"Geary, Jarryn",4,,7,11,,,,1.0,,2.0,3.0,,1.0,,,6.0,5,,,,,,86.0
4,"Gresham, Jade",13,2.0,4,17,1.0,1.0,,,1.0,6.0,6.0,3.0,3.0,2.0,1.0,8.0,9,,1.0,,,,81.0
8,"Hill, Bradley",8,,3,11,,,,,1.0,2.0,,4.0,,3.0,,3.0,6,,,,2.0,1.0,86.0
20,"Howard, Dougal",9,7.0,2,11,,,,,3.0,,,2.0,,1.0,,,10,,,7.0,,,97.0
3,"Jones, Zak",9,2.0,6,15,2.0,,,4.0,1.0,4.0,4.0,3.0,1.0,1.0,,9.0,7,,,,1.0,,69.0
25,"Kent, Dean",4,1.0,3,7,1.0,,,3.0,,1.0,,1.0,,,,3.0,4,,,,,1.0,74.0
12,"King, Max",5,3.0,2,7,1.0,3.0,,1.0,,,,,,,,7.0,1,2.0,3.0,1.0,,,80.0
21,"Long, Ben",6,5.0,8,14,,,,2.0,2.0,1.0,,3.0,,2.0,,5.0,7,,,2.0,2.0,,82.0
13,"Lonie, Jack",6,2.0,3,9,1.0,1.0,,4.0,,1.0,,,1.0,,,4.0,5,,,3.0,,,82.0
43,"Marsh, Jonathon",2,,1,3,,,,4.0,,1.0,1.0,,,,,3.0,1,,,2.0,,,69.0
19,"Marshall, Rowan",7,2.0,2,9,,,29.0,1.0,,1.0,3.0,6.0,1.0,4.0,,3.0,5,,,1.0,,,88.0
28,"Membrey, Tim",8,6.0,3,11,3.0,1.0,,1.0,,3.0,,2.0,2.0,1.0,,5.0,5,2.0,3.0,1.0,,,93.0
33,"Paton, Ben",6,3.0,7,13,,,,,,1.0,1.0,1.0,,,,4.0,9,1.0,,,,,75.0
6,"Ross, Sebastian",5,2.0,7,12,,,,1.0,,2.0,1.0,4.0,,4.0,,6.0,8,,,1.0,,,78.0
9,"Steele, Jack",10,3.0,12,22,,,,3.0,4.0,6.0,4.0,3.0,1.0,,,10.0,12,,,,,,84.0
44,"Wilkie, Callum",14,3.0,4,18,,,,1.0,7.0,1.0,,1.0,,,,5.0,9,,,6.0,,,85.0
Totals,Totals,165,66.0,105,270,11.0,7.0,35.0,32.0,31.0,40.0,31.0,41.0,15.0,22.0,1.0,111.0,151,6.0,7.0,34.0,6.0,3.0,
Opposition,Opposition,181,89.0,111,292,12.0,7.0,27.0,33.0,28.0,43.0,29.0,41.0,22.0,15.0,5.0,106.0,182,10.0,13.0,41.0,,9.0,
