Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
7,"Ash, Lachie",19y 47d,8 (5-0-3 62.50%),1 (0.13),←,
5,"Caldwell, Jye",19y 314d,8 (3-0-5 37.50%),,←,
18,"Cameron, Jeremy",27y 128d,164 (75-3-86 46.65%),420 (2.56),←,
3,"Coniglio, Stephen",26y 236d,143 (68-1-74 47.90%),82 (0.57),←,
35,"Corr, Aidan",26y 82d,93 (45-3-45 50.00%),2 (0.02),←,
16,"Daniels, Brent",21y 151d,43 (27-0-16 62.79%),15 (0.35),←,
1,"Davis, Phil",29y 343d,176 (88-3-85 50.85%),7 (0.04),158 (77-3-78 49.68%),6 (0.04)
31,"Finlayson, Jeremy",24y 180d,48 (28-2-18 60.42%),62 (1.29),←,
19,"Haynes, Nick",28y 81d,138 (69-3-66 51.09%),9 (0.07),←,
27,"Himmelberg, Harry",24y 91d,75 (48-1-26 64.67%),89 (1.19),←,
2,"Hopper, Jacob",23y 183d,77 (49-1-27 64.29%),30 (0.39),←,
25,"Keeffe, Lachlan",30y 115d,64 (38-0-26 59.38%),14 (0.22),24 (13-0-11 54.17%),7 (0.29)
22,"Kelly, Josh",25y 177d,127 (73-2-52 58.27%),81 (0.64),←,
17,"Langdon, Zac",24y 268d,30 (17-0-13 56.67%),22 (0.73),←,
41,"Mumford, Shane",34y 33d,197 (128-4-65 65.99%),53 (0.27),97 (59-2-36 61.86%),14 (0.14)
33,"OHalloran, Xavier",20y 27d,1 (1-0-0 100.00%),,←,
36,"Perryman, Harry",21y 232d,46 (25-1-20 55.43%),13 (0.28),←,
23,"Shaw, Heath",34y 254d,318 (194-5-119 61.79%),41 (0.13),145 (84-3-58 58.97%),4 (0.03)
14,"Taranto, Tim",22y 192d,67 (42-1-24 63.43%),27 (0.40),←,
8,"Ward, Callan",30y 119d,222 (100-3-119 45.72%),110 (0.50),162 (68-3-91 42.90%),77 (0.48)
6,"Whitfield, Lachie",26y 20d,143 (71-3-69 50.70%),61 (0.43),←,
29,"Williams, Zac",25y 322d,107 (57-0-50 53.27%),25 (0.23),←,
Totals,Totals,25y 280d,2295 (1251-36-1008 54.51%),1164 (0.51),,
C,"Cameron, Leon",47y 340d,153 (85-3-65 56.54%),,←,
