Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",21y 176d,36 (13-1-22 37.50%),20 (0.56),←,
35,"Baxter, Darren",25y 90d,82 (36-2-44 45.12%),10 (0.12),←,
18,"Cameron, Leon",17y 288d,11 (6-0-5 54.55%),5 (0.45),←,
20,"Coleman, Glenn",29y 134d,135 (73-1-61 54.44%),78 (0.58),10 (5-0-5 50.00%),14 (1.40)
26,"Del-Re, Danny",22y 125d,5 (2-0-3 40.00%),3 (0.60),←,
12,"Eppelstun, Greg",23y 213d,71 (34-1-36 48.59%),1 (0.01),←,
32,"Foster, Peter",30y 15d,118 (62-2-54 53.39%),50 (0.42),111 (59-2-50 54.05%),48 (0.43)
29,"Grant, Chris",17y 186d,12 (6-0-6 50.00%),35 (2.92),←,
36,"Hannebery, Matt",25y 244d,32 (16-1-15 51.56%),4 (0.13),←,
30,"Harrington, Tim",26y 271d,46 (16-1-29 35.87%),2 (0.04),18 (7-0-11 38.89%),
7,"Hawkins, Doug",30y 43d,234 (92-3-139 39.96%),110 (0.47),←,
43,"Hogg, Matthew",21y 178d,45 (17-1-27 38.89%),4 (0.09),←,
8,"Kennedy, Rick",29y 188d,144 (60-2-82 42.36%),34 (0.24),←,
21,"Kolyniuk, Steven",19y 347d,22 (10-1-11 47.73%),19 (0.86),←,
39,"Liberatore, Tony",24y 126d,30 (17-0-13 56.67%),19 (0.63),←,
11,"McGuinness, Tony",26y 42d,99 (44-2-53 45.45%),96 (0.97),←,
33,"Royal, Brian",28y 187d,149 (77-2-70 52.35%),189 (1.27),←,
16,"Wallace, Terry",31y 186d,240 (141-2-97 59.17%),119 (0.50),55 (23-1-31 42.73%),16 (0.29)
6,"Wigney, Stuart",21y 59d,34 (14-1-19 42.65%),14 (0.41),←,
15,"Wynd, Scott",20y 143d,31 (12-0-19 38.71%),6 (0.19),←,
Totals,Totals,24y 235d,1576 (748-23-805 47.46%),818 (0.52),,
C,"Wheeler, Terry",35y 96d,12 (6-0-6 50.00%),,←,
