Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
17,"Burns, Scott",32y 217d,239 (106-1-132 44.56%),138 (0.58),←,
43,"Clarke, Martin",19y 257d,6 (3-0-3 50.00%),3 (0.50),←,
32,"Cloke, Travis",20y 145d,47 (24-0-23 51.06%),43 (0.91),←,
1,"Davis, Leon",26y 41d,131 (61-0-70 46.56%),162 (1.24),←,
4,"Didak, Alan",24y 163d,114 (62-0-52 54.39%),163 (1.43),←,
25,"Fraser, Josh",25y 204d,153 (81-0-72 52.94%),131 (0.86),←,
38,"Goldsack, Tyson",20y 67d,10 (5-0-5 50.00%),,←,
26,"Johnson, Ben",26y 114d,152 (80-0-72 52.63%),42 (0.28),←,
18,"Licuria, Paul",29y 205d,191 (83-0-108 43.46%),72 (0.38),181 (81-0-100 44.75%),70 (0.39)
24,"Lockyer, Tarkyn",27y 271d,159 (74-0-85 46.54%),87 (0.55),←,
3,"Lonie, Ryan",24y 146d,121 (62-0-59 51.24%),61 (0.50),←,
30,"Lumumba, Heritier",20y 255d,28 (16-0-12 57.14%),1 (0.04),←,
27,"Maxwell, Nick",24y 55d,64 (33-0-31 51.56%),16 (0.25),←,
11,"OBree, Shane",28y 135d,185 (91-0-94 49.19%),71 (0.38),166 (82-0-84 49.40%),68 (0.41)
10,"Pendlebury, Scott",19y 202d,26 (14-0-12 53.85%),18 (0.69),←,
35,"Prestigiacomo, Simon",29y 178d,191 (81-0-110 42.41%),3 (0.02),←,
21,"Richards, Guy",24y 129d,33 (17-0-16 51.52%),3 (0.09),←,
23,"Rocca, Anthony",29y 347d,222 (107-0-115 48.20%),372 (1.68),200 (96-0-104 48.00%),361 (1.80)
39,"Shaw, Heath",21y 243d,45 (24-0-21 53.33%),11 (0.24),←,
36,"Swan, Dane",23y 153d,68 (34-0-34 50.00%),32 (0.47),←,
13,"Thomas, Dale",20y 37d,33 (19-0-14 57.58%),22 (0.67),←,
14,"Wakelin, Shane",32y 350d,226 (107-2-117 47.79%),20 (0.09),132 (66-0-66 50.00%),1 (0.01)
Totals,Totals,25y 28d,2444 (1184-3-1257 48.45%),1471 (0.60),,
C,"Malthouse, Mick",53y 345d,556 (310-4-242 56.12%),,178 (87-0-91 48.88%),
