Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Cox, Nik",6,2,5,11,1.0,1.0,,5.0,1.0,,,4.0,,4.0,,2.0,10,,1.0,,,,85.0
10,"Francis, Aaron",8,5,6,14,,,,1.0,1.0,,,1.0,1.0,1.0,,3.0,11,,,5.0,,,89.0
35 ↑,"Guelfi, Matt",5,2,3,8,1.0,,,6.0,,4.0,2.0,1.0,2.0,,,3.0,5,,,,,,28.0
33,"Ham, Brayden",8,4,9,17,,1.0,,,,4.0,,4.0,,,,7.0,10,,,,,,81.0
21,"Heppell, Dyson",14,8,13,27,,,,,5.0,2.0,1.0,3.0,,1.0,,5.0,19,,,1.0,,1.0,88.0
19,"Hind, Nick",22,5,7,29,,,,1.0,,5.0,,3.0,1.0,,,6.0,19,,,2.0,2.0,2.0,84.0
26,"Hooker, Cale",4,2,3,7,1.0,1.0,,,,1.0,,3.0,1.0,1.0,,5.0,3,1.0,2.0,3.0,,1.0,90.0
23,"Jones, Harry",6,5,2,8,2.0,,,1.0,,3.0,,,,,,1.0,7,1.0,2.0,2.0,,,80.0
4,"Langford, Kyle",10,9,10,20,3.0,,,2.0,1.0,3.0,1.0,4.0,,1.0,,6.0,15,,2.0,,,,86.0
15,"Laverde, Jayden",10,10,6,16,,,,1.0,2.0,,,4.0,,1.0,,5.0,12,2.0,,1.0,,,76.0
43,"McDonald-Tipungwuti, Anthony",6,2,5,11,2.0,,,1.0,,1.0,,1.0,2.0,,,4.0,7,,1.0,3.0,1.0,2.0,82.0
1,"McGrath, Andrew",11,3,14,25,,,,1.0,1.0,2.0,12.0,3.0,1.0,,,14.0,10,,,5.0,,1.0,80.0
7,"Merrett, Zach",22,6,15,37,,2.0,,3.0,1.0,13.0,4.0,5.0,3.0,1.0,1.0,10.0,29,,,6.0,1.0,3.0,79.0
3,"Parish, Darcy",17,5,18,35,,1.0,,4.0,3.0,6.0,7.0,5.0,1.0,1.0,2.0,14.0,22,,,1.0,,,80.0
16,"Perkins, Archie",5,2,8,13,1.0,1.0,,4.0,,3.0,,,,,,3.0,11,,1.0,,,,71.0
34,"Phillips, Andrew",8,6,5,13,,,26.0,4.0,,3.0,2.0,2.0,1.0,2.0,,5.0,7,2.0,,2.0,,,74.0
27,"Redman, Mason",16,5,7,23,1.0,,,,8.0,2.0,,1.0,1.0,,,1.0,16,,,1.0,4.0,,78.0
14,"Ridley, Jordan",17,5,4,21,,,,2.0,4.0,2.0,,2.0,,1.0,,3.0,14,,,10.0,,,96.0
5,"Smith, Devon",6,3,8,14,,,,3.0,,3.0,2.0,3.0,1.0,1.0,,6.0,8,,,,4.0,,78.0
40,"Snelling, Will",9,5,10,19,2.0,,,3.0,1.0,3.0,,1.0,,,,3.0,16,,1.0,,,3.0,82.0
17,"Stewart, James",9,5,3,12,,,,,5.0,,,3.0,1.0,2.0,,6.0,5,2.0,,3.0,,,88.0
25 ↓,"Stringer, Jake",4,2,1,5,,2.0,,2.0,,1.0,,1.0,,,,,4,,2.0,1.0,,1.0,46.0
20,"Wright, Peter",4,2,4,8,2.0,,10.0,,,,1.0,2.0,1.0,,,5.0,4,1.0,2.0,5.0,,,77.0
Totals,Totals,227,103,166,393,16.0,9.0,36.0,44.0,33.0,61.0,32.0,56.0,17.0,17.0,3.0,117.0,264,9.0,14.0,51.0,12.0,14.0,
Opposition,Opposition,226,88,154,380,16.0,11.0,28.0,43.0,44.0,49.0,37.0,56.0,17.0,17.0,3.0,135.0,241,11.0,9.0,57.0,8.0,10.0,
