Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
11,"Bandy, Daniel",27y 244d,138 (44-1-93 32.25%),116 (0.84),33 (11-1-21 34.85%),36 (1.09)
20,"Bowden, Patrick",21y 350d,20 (2-1-17 12.50%),21 (1.05),←,
42,"Boyd, Matthew",20y 327d,5 (1-0-4 20.00%),1 (0.20),←,
17,"Brown, Nathan",25y 160d,131 (63-3-65 49.24%),190 (1.45),←,
16,"Croft, Matthew",30y 144d,181 (93-5-83 52.76%),63 (0.35),←,
38,"Cross, Daniel",20y 112d,8 (3-1-4 43.75%),1 (0.13),←,
14,"Darcy, Luke",28y 8d,171 (82-4-85 49.12%),116 (0.68),←,
28,"Dimattina, Paul",28y 240d,126 (62-2-62 50.00%),55 (0.44),←,
10,"Eagleton, Nathan",24y 252d,122 (57-3-62 47.95%),98 (0.80),66 (31-1-34 47.73%),53 (0.80)
4,"Garlick, Simon",28y 101d,170 (84-3-83 50.29%),136 (0.80),126 (60-3-63 48.81%),109 (0.87)
13,"Giansiracusa, Daniel",21y 131d,50 (16-2-32 34.00%),52 (1.04),←,
9,"Gilbee, Lindsay",22y 12d,34 (14-1-19 42.65%),18 (0.53),←,
25,"Hargrave, Ryan",21y 359d,32 (11-2-19 37.50%),9 (0.28),←,
22,"Harrison, Ben",28y 184d,131 (59-2-70 45.80%),55 (0.42),55 (21-2-32 40.00%),16 (0.29)
6,"Johnson, Brad",27y 2d,205 (98-5-102 49.02%),258 (1.26),←,
35,"Kretiuk, Steven",31y 16d,164 (89-4-71 55.49%),11 (0.07),←,
36,"Lake, Brian",21y 143d,11 (1-0-10 9.09%),6 (0.55),←,
2,"Murphy, Robert",21y 41d,54 (20-2-32 38.89%),11 (0.20),←,
15,"Power, Sam",20y 18d,21 (4-1-16 21.43%),4 (0.19),←,
30,"Robbins, Matthew",26y 73d,69 (30-2-37 44.93%),16 (0.23),62 (26-2-34 43.55%),16 (0.26)
5,"Smith, Rohan",30y 50d,229 (113-5-111 50.44%),210 (0.92),←,
7,"West, Scott",28y 248d,226 (109-4-113 49.12%),85 (0.38),←,
Totals,Totals,25y 96d,2298 (1055-53-1190 45.91%),1532 (0.67),,
C,"Rohde, Peter",38y 243d,17 (3-1-13 20.59%),,←,
