Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
47,"Beams, Ben",20y 348d,10 (4-0-6 40.00%),9 (0.90),←,
18,"Bishop, Matthew",24y 20d,15 (7-0-8 46.67%),3 (0.20),←,
19,"Chisholm, Scott",26y 64d,77 (29-0-48 37.66%),28 (0.36),14 (5-0-9 35.71%),3 (0.21)
8,"Farmer, Jeff",22y 37d,80 (30-0-50 37.50%),150 (1.88),←,
4,"Grgic, Brent",19y 296d,39 (16-0-23 41.03%),20 (0.51),←,
15,"Hopgood, Paul",26y 10d,108 (44-0-64 40.74%),10 (0.09),←,
27,"Ingerson, Anthony",29y 291d,119 (47-0-72 39.50%),40 (0.34),82 (31-0-51 37.80%),15 (0.18)
36,"Leoncelli, Andrew",25y 14d,60 (25-0-35 41.67%),17 (0.28),←,
45,"Longmuir, Troy",20y 67d,17 (5-0-12 29.41%),3 (0.18),←,
35,"McDonald, Anthony",27y 48d,50 (21-0-29 42.00%),23 (0.46),←,
23,"McDonald, James",22y 299d,39 (19-0-20 48.72%),18 (0.46),←,
9,"Neitz, David",24y 190d,134 (59-0-75 44.03%),205 (1.53),←,
24,"Robertson, Russell",20y 249d,30 (15-0-15 50.00%),30 (1.00),←,
5,"Schwarz, David",27y 7d,110 (47-1-62 43.18%),173 (1.57),←,
10,"Seecamp, Marcus",27y 4d,134 (51-0-83 38.06%),17 (0.13),83 (33-0-50 39.76%),7 (0.08)
1,"Shanahan, Jamie",31y 237d,158 (82-1-75 52.22%),,33 (18-0-15 54.55%),
42,"Walsh, Peter",23y 7d,15 (5-0-10 33.33%),,←,
26,"Ward, Daniel",22y 22d,18 (5-0-13 27.78%),3 (0.17),←,
34,"White, Jeff",22y 162d,72 (34-0-38 47.22%),42 (0.58),40 (21-0-19 52.50%),24 (0.60)
49,"Williams, Luke",19y 214d,2 (0-0-2 0.00%),,←,
22,"Woewodin, Shane",23y 19d,65 (26-0-39 40.00%),22 (0.34),←,
13,"Yze, Adem",21y 313d,90 (36-0-54 40.00%),37 (0.41),←,
Totals,Totals,23y 348d,1442 (607-2-833 42.09%),850 (0.59),,
C,"Daniher, Neale",38y 166d,43 (22-0-21 51.16%),,←,
