Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",12,6.0,4,16,1.0,,,2.0,1.0,7.0,,4.0,1.0,1.0,,3,11,1.0,,,1.0,1.0,91.0
14,"Birchall, Grant",5,5.0,10,15,,,,1.0,,1.0,,,1.0,,,5,11,,,3.0,1.0,,78.0
20,"Boyle, Tim",3,2.0,3,6,,1.0,1.0,,,,,5.0,,3.0,,3,3,1.0,2.0,,,,64.0
30,"Brown, Campbell",4,3.0,3,7,,,,1.0,2.0,,,2.0,,2.0,,5,3,2.0,,4.0,5.0,,100.0
39,"Campbell, Robert",4,3.0,3,7,1.0,,11.0,,,1.0,3.0,4.0,,4.0,,4,2,2.0,1.0,4.0,,,53.0
9,"Crawford, Shane",13,4.0,9,22,,1.0,,7.0,3.0,2.0,3.0,5.0,1.0,2.0,,6,15,,,,1.0,,89.0
24,"Croad, Trent",7,5.0,5,12,,,,1.0,,,,3.0,3.0,1.0,,7,5,2.0,,5.0,,,94.0
23,"Franklin, Lance",12,6.0,5,17,6.0,2.0,,,,3.0,,3.0,,,,8,9,2.0,5.0,,2.0,,95.0
27,"Gilham, Stephen",6,8.0,5,11,,,,,2.0,,,2.0,,,,3,8,1.0,,3.0,,,82.0
18,"Guerra, Brent",8,4.0,7,15,,,,4.0,2.0,,3.0,3.0,3.0,2.0,,6,10,,,2.0,,,81.0
15,"Hodge, Luke",7,4.0,10,17,,,,12.0,2.0,3.0,3.0,4.0,1.0,3.0,,7,10,,,3.0,,,96.0
8,"Jacobs, Danny",10,5.0,2,12,,,,3.0,1.0,,1.0,,,,,4,9,,,2.0,1.0,,92.0
4,"Ladson, Rick",6,1.0,5,11,,,,1.0,2.0,,,2.0,2.0,,,4,7,,,1.0,,,89.0
3,"Lewis, Jordan",8,2.0,4,12,,1.0,,4.0,,4.0,2.0,1.0,4.0,1.0,,6,6,,,2.0,,,89.0
22,"McGlynn, Ben",13,7.0,3,16,,1.0,,2.0,,8.0,1.0,6.0,,,,4,12,,,2.0,,1.0,92.0
5,"Mitchell, Sam",14,7.0,10,24,,,,2.0,2.0,2.0,7.0,3.0,4.0,2.0,,11,13,,,,,1.0,100.0
7,"Osborne, Michael",3,,4,7,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,2,4,,,,2.0,1.0,71.0
2,"Roughead, Jarryd",6,5.0,6,12,,3.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,6,6,1.0,2.0,,,,67.0
12,"Sewell, Brad",14,7.0,12,26,,,,2.0,,9.0,3.0,3.0,1.0,2.0,1.0,9,17,,,2.0,3.0,1.0,96.0
11,"Smith, Joel",6,2.0,1,7,,,,5.0,,3.0,1.0,,,,,2,5,,,1.0,,,56.0
13,"Taylor, Simon",2,1.0,3,5,,,11.0,3.0,2.0,1.0,1.0,6.0,1.0,3.0,,2,3,,,,2.0,,53.0
45,"Young, Clinton",9,3.0,3,12,,2.0,,2.0,1.0,3.0,2.0,1.0,2.0,1.0,,4,8,1.0,,,4.0,1.0,70.0
Totals,Totals,172,90.0,117,289,9.0,12.0,25.0,56.0,22.0,48.0,30.0,60.0,25.0,29.0,1.0,111,177,13.0,10.0,34.0,22.0,6.0,
Opposition,Opposition,203,123.0,106,309,11.0,9.0,37.0,61.0,35.0,34.0,31.0,53.0,29.0,25.0,5.0,95,218,7.0,9.0,27.0,11.0,5.0,
