Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Brand, Kaiden",3,2,5,8,,,,1.0,2.0,,1.0,2.0,,1.0,,6.0,4.0,,,4.0,,,95.0
22,"Breust, Luke",7,1,6,13,,2.0,,6.0,,4.0,,4.0,1.0,3.0,,7.0,8.0,,1.0,2.0,,2.0,84.0
9,"Burgoyne, Shaun",1,1,3,4,,1.0,,1.0,,,1.0,,,,,1.0,3.0,,1.0,,,,18.0
5,"Burton, Ryan",9,4,8,17,,,,1.0,2.0,2.0,1.0,6.0,1.0,4.0,,6.0,11.0,1.0,,2.0,,1.0,83.0
8,"Duryea, Taylor",11,7,8,19,,,,,2.0,4.0,1.0,2.0,,1.0,,5.0,14.0,,,1.0,,1.0,81.0
19,"Gunston, Jack",10,8,3,13,2,2.0,,3.0,,1.0,,1.0,,,,5.0,8.0,1.0,4.0,2.0,,,89.0
15,"Hardwick, Blake",13,9,2,15,,,,3.0,3.0,1.0,,1.0,,,,3.0,12.0,,,2.0,,,81.0
31,"Henderson, Ricky",12,5,7,19,2,2.0,,4.0,1.0,2.0,3.0,3.0,1.0,2.0,,7.0,13.0,,1.0,2.0,1.0,1.0,75.0
17,"Howe, Daniel",11,5,5,16,1,,,6.0,2.0,2.0,4.0,2.0,2.0,1.0,,6.0,10.0,1.0,1.0,,,1.0,93.0
4,"Impey, Jarman",11,2,5,16,2,1.0,,3.0,2.0,5.0,3.0,1.0,1.0,,,5.0,10.0,,2.0,,2.0,1.0,77.0
7,"McEvoy, Ben",6,5,10,16,1,,43.0,3.0,1.0,,4.0,1.0,2.0,,2.0,10.0,5.0,3.0,1.0,6.0,,,90.0
3,"Mitchell, Tom",21,4,19,40,2,,,4.0,,9.0,13.0,6.0,2.0,2.0,3.0,23.0,17.0,,,1.0,,1.0,92.0
23,"OBrien, Tim",8,4,1,9,,1.0,,,1.0,,,,,,,2.0,8.0,,,1.0,,1.0,78.0
10,"OMeara, Jaeger",9,3,12,21,1,,,3.0,1.0,4.0,6.0,5.0,1.0,4.0,,8.0,11.0,,,,,,73.0
28,"Puopolo, Paul",5,1,4,9,1,,,1.0,,2.0,,2.0,2.0,1.0,,4.0,5.0,,,2.0,,,84.0
33,"Rioli, Cyril",2,2,5,7,,,,3.0,,2.0,1.0,1.0,,1.0,,5.0,4.0,,,4.0,,1.0,80.0
2,"Roughead, Jarryd",11,5,3,14,2,3.0,7.0,1.0,,3.0,3.0,4.0,2.0,3.0,,10.0,6.0,4.0,4.0,5.0,,2.0,88.0
25,"Schoenmakers, Ryan",4,2,1,5,,1.0,,,,2.0,,,,,,2.0,3.0,,1.0,3.0,,,78.0
26,"Shiels, Liam",11,6,4,15,1,,,13.0,,5.0,4.0,1.0,,1.0,,4.0,7.0,,,3.0,,,80.0
6,"Sicily, James",14,3,5,19,,,,2.0,3.0,5.0,,4.0,3.0,1.0,,3.0,14.0,,,4.0,,1.0,93.0
16,"Smith, Isaac",16,5,4,20,2,1.0,,3.0,1.0,8.0,1.0,2.0,1.0,1.0,,7.0,14.0,1.0,1.0,4.0,3.0,,88.0
24,"Stratton, Ben",6,4,2,8,,,,1.0,1.0,1.0,1.0,2.0,,1.0,,2.0,6.0,1.0,,6.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,88,122,323,17,16.0,50.0,62.0,22.0,62.0,47.0,50.0,19.0,27.0,5.0,131.0,193.0,12.0,17.0,54.0,6.0,13.0,
Opposition,Opposition,213,102,159,372,18,9.0,35.0,51.0,38.0,43.0,41.0,44.0,27.0,19.0,1.0,131.0,244.0,11.0,13.0,44.0,5.0,12.0,
