0,1,2,3,4,5,6
←,"Round: 3 Venue: Football Park Date: Sat, 25-Mar-2000 7:10 PM (6:40 PM) Attendance: 39179","Round: 3 Venue: Football Park Date: Sat, 25-Mar-2000 7:10 PM (6:40 PM) Attendance: 39179","Round: 3 Venue: Football Park Date: Sat, 25-Mar-2000 7:10 PM (6:40 PM) Attendance: 39179","Round: 3 Venue: Football Park Date: Sat, 25-Mar-2000 7:10 PM (6:40 PM) Attendance: 39179","Round: 3 Venue: Football Park Date: Sat, 25-Mar-2000 7:10 PM (6:40 PM) Attendance: 39179",→
←,Adelaide,4.3.27,6.7.43,10.12.72,14.16.100,→
←,Geelong,4.4.28,8.6.54,14.7.91,17.9.111,→
←,Qrt margin,GE by 1,GE by 11,GE by 19,GE by 11,→
←,Qrt scores,GE 28-27,GE 26-16,GE 37-29,AD 28-20,→
←,Field umpires,"Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)","Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)","Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)","Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)",→
