Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game],Carlton Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
27,"Armfield, Dennis",13,6,2,15,1,2.0,,3.0,,3.0,,,1.0,,,2.0,11.0,,2.0,1.0,,,94.0
19,"Betts, Eddie",10,7,5,15,4,1.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,,4.0,,,1.0,90.0
44,"Carrazzo, Andrew",13,9,13,26,,,,7.0,1.0,1.0,6.0,3.0,,2.0,,7.0,18.0,1.0,,,,1.0,90.0
16,"Collins, Andrew",11,5,11,22,1,2.0,,3.0,,3.0,1.0,5.0,,1.0,,4.0,18.0,,2.0,,,1.0,79.0
35,"Curnow, Ed",12,6,12,24,,,,6.0,1.0,4.0,1.0,1.0,1.0,1.0,,7.0,16.0,,1.0,1.0,,,72.0
34,"Duigan, Nick",5,3,5,10,3,,,4.0,,,,1.0,,1.0,,2.0,8.0,,2.0,4.0,,,91.0
38,"Garlett, Jeff",10,3,6,16,,2.0,,3.0,,4.0,1.0,1.0,2.0,,,9.0,7.0,,1.0,2.0,2.0,1.0,90.0
4,"Gibbs, Bryce",17,5,10,27,,,,3.0,2.0,,2.0,3.0,,1.0,,8.0,17.0,,,3.0,,,95.0
22 ↓,"Hampson, Shaun",,,1,1,,,1.0,,,,,,,,,,1.0,,,,,1.0,9.0
40,"Jamison, Michael",8,7,3,11,,,,3.0,2.0,,,1.0,1.0,,,2.0,9.0,,,8.0,1.0,,96.0
45,"Joseph, Aaron",10,6,6,16,,,,2.0,,2.0,,1.0,1.0,,,5.0,9.0,,,4.0,,,77.0
5,"Judd, Chris",17,4,15,32,,,,1.0,3.0,6.0,7.0,,,,3.0,12.0,18.0,,,1.0,1.0,2.0,81.0
8,"Kreuzer, Matthew",13,2,4,17,,1.0,21.0,4.0,3.0,3.0,6.0,1.0,2.0,1.0,,10.0,8.0,1.0,1.0,4.0,,,96.0
26,"McInnes, Andrew",6,4,6,12,,,,5.0,3.0,,,3.0,1.0,1.0,,4.0,7.0,,,4.0,,,85.0
14 ↑,"McLean, Brock",9,6,19,28,,,,6.0,1.0,3.0,3.0,,1.0,,2.0,12.0,17.0,1.0,,4.0,,,69.0
12,"Robinson, Mitch",15,5,11,26,,1.0,2.0,7.0,,3.0,2.0,6.0,5.0,3.0,,13.0,16.0,,,1.0,,,82.0
29,"Scotland, Heath",10,6,17,27,,,,1.0,,3.0,4.0,2.0,,1.0,,9.0,18.0,,,5.0,,1.0,85.0
6,"Simpson, Kade",8,3,6,14,,,,,1.0,3.0,3.0,,1.0,,,7.0,9.0,1.0,,,,,59.0
42,"Tuohy, Zach",5,1,5,10,,,,5.0,2.0,,,1.0,,,,5.0,5.0,1.0,,4.0,,,87.0
1,"Walker, Andrew",6,2,13,19,2,,,1.0,1.0,3.0,1.0,3.0,,1.0,,9.0,11.0,1.0,,3.0,1.0,,94.0
10,"Watson, Matthew",10,5,1,11,,,,3.0,4.0,,,2.0,,,,1.0,9.0,,,5.0,,,92.0
13,"Yarran, Chris",16,7,7,23,1,1.0,,1.0,2.0,3.0,,,,,,4.0,19.0,,2.0,2.0,5.0,3.0,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,102,178,402,12,13.0,24.0,70.0,28.0,47.0,38.0,35.0,17.0,14.0,6.0,140.0,258.0,6.0,15.0,56.0,10.0,11.0,
Opposition,Opposition,198,101,136,334,8,14.0,42.0,50.0,34.0,44.0,26.0,43.0,14.0,17.0,,136.0,204.0,20.0,13.0,53.0,15.0,6.0,
