Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
29,"Bramble, Lachlan",26y 330d,55 (24-2-29 45.45%),4 (0.07),25 (15-0-10 60.00%),2 (0.08)
36,"Cleary, Luke",23y 10d,8 (7-0-1 87.50%),,←,
31,"Dale, Bailey",28y 236d,156 (86-0-70 55.13%),85 (0.54),←,
10,"Darcy, Sam",21y 239d,29 (16-0-13 55.17%),42 (1.45),←,
42,"Davidson, Sam",23y 92d,1 (1-0-0 100.00%),1 (1.00),←,
26,"Dolan, Josh",18y 124d,1 (1-0-0 100.00%),,←,
15,"Duryea, Taylor",33y 325d,215 (140-1-74 65.35%),25 (0.12),97 (58-0-39 59.79%),4 (0.04)
44,"English, Tim",27y 217d,132 (73-0-59 55.30%),77 (0.58),←,
27,"Freijah, Joel",19y 121d,14 (10-0-4 71.43%),2 (0.14),←,
12,"Gallagher, Harvey",21y 170d,21 (12-0-9 57.14%),9 (0.43),←,
22,"Harmes, James",29y 161d,162 (87-0-75 53.70%),86 (0.53),10 (5-0-5 50.00%),8 (0.80)
32,"Jones, Arthur",21y 240d,15 (10-0-5 66.67%),5 (0.33),←,
8,"Kennedy, Matthew",27y 343d,119 (57-3-59 49.16%),57 (0.48),1 (1-0-0 100.00%),
21,"Liberatore, Tom",32y 303d,235 (117-0-118 49.79%),85 (0.36),←,
7,"Lobb, Rory",32y 34d,177 (98-2-77 55.93%),172 (0.97),37 (22-0-15 59.46%),29 (0.78)
30,"McNeil, Lachlan",24y 34d,55 (36-0-19 65.45%),27 (0.49),←,
33,"Naughton, Aaron",25y 105d,144 (80-0-64 55.56%),229 (1.59),←,
18,"ODonnell, James",22y 196d,27 (14-0-13 51.85%),3 (0.11),←,
20,"Richards, Ed",25y 255d,126 (67-0-59 53.17%),37 (0.29),←,
9,"Sanders, Ryley",20y 53d,15 (9-0-6 60.00%),2 (0.13),←,
23,"Vandermeer, Laitham",26y 40d,69 (38-0-31 55.07%),34 (0.49),←,
14,"West, Rhylee",24y 246d,59 (35-0-24 59.32%),46 (0.78),←,
34,"Williams, Bailey",27y 156d,152 (83-0-69 54.61%),38 (0.25),←,
Totals,Totals,25y 143d,1987 (1101-8-878 55.41%),1066 (0.54),,
C,"Beveridge, Luke",54y 204d,231 (131-0-100 56.71%),,←,
