West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Baker, Liam",8,4,6,14,1,,,5.0,3.0,2.0,,3.0,,2.0,,6.0,9.0,,1.0,3.0,,1.0,83.0
33,"Bazzo, Rhett",6,4,2,8,,,,,2.0,,,4.0,,2.0,,5.0,4.0,1.0,,6.0,,,86.0
41,"Brock, Sandy",9,5,3,12,,,,1.0,6.0,1.0,,2.0,1.0,,,6.0,5.0,1.0,,10.0,,,95.0
10,"Brockman, Tyler",6,4,5,11,1,,,1.0,,1.0,,1.0,1.0,,,5.0,6.0,1.0,2.0,,,,77.0
18,"Chesser, Campbell",9,3,4,13,1,2.0,,4.0,1.0,1.0,2.0,,2.0,,,5.0,8.0,,2.0,,,,80.0
28,"Cole, Tom",9,4,5,14,,,,6.0,1.0,4.0,,5.0,2.0,5.0,,3.0,10.0,,,4.0,2.0,1.0,78.0
15,"Cripps, Jamie",10,5,2,12,1,,,3.0,,2.0,1.0,3.0,1.0,1.0,,5.0,9.0,,,2.0,,2.0,92.0
38,"Davis, Hamish",4,1,9,13,1,,,7.0,1.0,2.0,2.0,2.0,,,,6.0,7.0,,,,,,76.0
14,"Duggan, Liam",14,10,2,16,,,,1.0,5.0,2.0,1.0,2.0,,1.0,,3.0,14.0,,,1.0,,,82.0
25,"Flynn, Matt",7,6,5,12,,,22.0,,,2.0,4.0,1.0,,,,9.0,6.0,2.0,,4.0,,1.0,83.0
7,"Ginbey, Reuben",8,2,3,11,,,,4.0,2.0,1.0,,3.0,1.0,2.0,,6.0,6.0,1.0,,6.0,,,93.0
17,"Graham, Jack",8,3,6,14,,,,9.0,1.0,1.0,4.0,2.0,1.0,2.0,,6.0,9.0,,,,,,78.0
27 ↓,"Gross, Tom",,,1,1,,,,2.0,1.0,,,,,,,,1.0,,,,,,48.0
29,"Hall, Clay",6,3,10,16,,1.0,,3.0,1.0,2.0,4.0,2.0,,1.0,,9.0,7.0,,,1.0,,,79.0
8,"Hewett, Elijah",6,1,13,19,,,,4.0,1.0,3.0,1.0,3.0,1.0,,,6.0,13.0,,,,,1.0,79.0
19,"Hough, Brady",10,7,8,18,,,,1.0,3.0,,,1.0,1.0,,,5.0,13.0,,,1.0,1.0,,83.0
11,"Kelly, Tim",14,1,11,25,1,,,5.0,2.0,2.0,11.0,7.0,3.0,2.0,,19.0,9.0,1.0,1.0,1.0,,,83.0
23,"Maric, Ryan",7,3,9,16,,,,2.0,2.0,1.0,,1.0,1.0,,,5.0,11.0,,,1.0,2.0,1.0,69.0
45,"McCarthy, Tom",21,3,8,29,,,,2.0,5.0,5.0,2.0,9.0,1.0,3.0,,7.0,17.0,,,,1.0,,81.0
16 ↑,"Owies, Matthew",2,,1,3,,,,3.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,35.0
22,"Reid, Archer",2,1,2,4,,,6.0,4.0,,1.0,1.0,,2.0,,,3.0,2.0,,,2.0,,,66.0
1,"Ryan, Liam",10,6,2,12,3,,,4.0,,3.0,,1.0,2.0,,,3.0,9.0,,1.0,1.0,,,84.0
35,"Shanahan, Jobe",6,4,,6,3,2.0,,1.0,,1.0,,1.0,1.0,1.0,,5.0,2.0,3.0,3.0,3.0,,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,182,80,117,299,12,6.0,28.0,72.0,38.0,37.0,33.0,54.0,21.0,22.0,,128.0,178.0,10.0,10.0,47.0,6.0,7.0,
Opposition,Opposition,215,90,125,340,13,9.0,63.0,68.0,24.0,51.0,44.0,63.0,22.0,21.0,6.0,137.0,202.0,9.0,7.0,46.0,6.0,7.0,
