Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",29y 105d,213 (131-0-82 61.50%),118 (0.55),←,
38,"Baird, John",22y 26d,12 (6-0-6 50.00%),4 (0.33),←,
22,"Burton, Matthew",32y 49d,128 (51-0-77 39.84%),59 (0.46),58 (29-0-29 50.00%),27 (0.47)
2,"Colbert, Leigh",27y 30d,147 (84-1-62 57.48%),62 (0.42),42 (22-0-20 52.38%),12 (0.29)
6,"Grant, Shannon",25y 79d,166 (100-1-65 60.54%),183 (1.10),108 (68-0-40 62.96%),145 (1.34)
39,"Harding, Leigh",21y 72d,15 (7-0-8 46.67%),17 (1.13),←,
29,"Harvey, Brent",24y 54d,123 (77-0-46 62.60%),141 (1.15),←,
34,"King, David",30y 122d,190 (121-0-69 63.68%),99 (0.52),←,
35,"Makepeace, Troy",23y 123d,53 (27-0-26 50.94%),12 (0.23),←,
4,"Martyn, Mick",33y 310d,278 (165-1-112 59.53%),16 (0.06),←,
32,"Morrell, Digby",22y 270d,17 (8-0-9 47.06%),15 (0.88),←,
20,"Petrie, Drew",19y 265d,11 (4-0-7 36.36%),3 (0.27),←,
28,"Pickett, Byron",24y 330d,112 (69-0-43 61.61%),67 (0.60),←,
17,"Porter, Mark",25y 269d,68 (35-0-33 51.47%),16 (0.24),13 (7-0-6 53.85%),3 (0.23)
3,"Rawlings, Brady",21y 27d,41 (26-0-15 63.41%),18 (0.44),←,
30,"Robbins, Ben",25y 192d,66 (32-2-32 50.00%),16 (0.24),14 (7-0-7 50.00%),2 (0.14)
26,"Rocca, Saverio",28y 229d,191 (85-2-104 45.03%),591 (3.09),35 (15-0-20 42.86%),77 (2.20)
7,"Simpson, Adam",26y 141d,150 (97-0-53 64.67%),48 (0.32),←,
9,"Sinclair, Jess",23y 315d,74 (23-0-51 31.08%),39 (0.53),24 (10-0-14 41.67%),13 (0.54)
13,"Smith, Dylan",19y 354d,6 (1-0-5 16.67%),1 (0.17),←,
10,"Stevens, Anthony",31y 5d,247 (151-0-96 61.13%),109 (0.44),←,
40,"Teague, David",21y 63d,17 (8-0-9 47.06%),4 (0.24),←,
Totals,Totals,25y 156d,2325 (1308-7-1010 56.26%),1638 (0.70),,
C,"Pagan, Denis",54y 286d,231 (145-0-86 62.77%),,←,
