Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
8,"Bond, Troy",22y 58d,35 (25-0-10 71.43%),26 (0.74),←,
21,"Bradley, Craig",31y 322d,224 (142-2-80 63.84%),164 (0.73),←,
20,"Brown, Fraser",25y 23d,105 (63-1-41 60.48%),67 (0.64),←,
16,"Camporeale, Scott",20y 30d,23 (21-0-2 91.30%),10 (0.43),←,
39,"Christou, Ang",23y 237d,71 (52-1-18 73.94%),15 (0.21),←,
6,"Clape, Matt",26y 105d,50 (40-0-10 80.00%),44 (0.88),21 (19-0-2 90.48%),30 (1.43)
35,"Dean, Peter",30y 185d,205 (132-1-72 64.63%),29 (0.14),←,
13,"Hanna, Mil",29y 158d,170 (100-2-68 59.41%),77 (0.45),←,
33,"Hogg, Matthew",26y 263d,121 (64-3-54 54.13%),30 (0.25),62 (40-1-21 65.32%),26 (0.42)
4,"Kernahan, Stephen",32y 9d,214 (135-2-77 63.55%),651 (3.04),←,
43,"Koutoufides, Anthony",22y 235d,59 (40-1-18 68.64%),30 (0.51),←,
44,"Madden, Justin",34y 102d,309 (196-2-111 63.75%),186 (0.60),264 (166-2-96 63.26%),166 (0.63)
22,"Manton, Glenn",22y 101d,31 (21-0-10 67.74%),5 (0.16),10 (10-0-0 100.00%),1 (0.10)
5,"McKay, Andrew",25y 58d,69 (51-1-17 74.64%),12 (0.17),←,
19,"Pearce, Brad",24y 25d,25 (21-0-4 84.00%),45 (1.80),23 (21-0-2 91.30%),44 (1.91)
7,"Ratten, Brett",24y 61d,95 (60-0-35 63.16%),22 (0.23),←,
23,"Rice, Dean",27y 177d,133 (60-1-72 45.49%),63 (0.47),17 (15-0-2 88.24%),20 (1.18)
14,"Sexton, Michael",24y 189d,105 (68-1-36 65.24%),9 (0.09),←,
1,"Silvagni, Stephen",28y 102d,186 (123-1-62 66.40%),121 (0.65),←,
11,"Spalding, Earl",30y 183d,193 (131-1-61 68.13%),147 (0.76),84 (61-1-22 73.21%),84 (1.00)
32,"Whitehead, Adrian",20y 16d,31 (27-0-4 87.10%),3 (0.10),←,
Totals,Totals,26y 91d,2454 (1572-20-862 64.06%),1756 (0.72),,
C,"Parkin, David",52y 363d,397 (239-2-156 60.45%),,234 (152-2-80 65.38%),
