Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
10,"Boak, Travis",19y 297d,23 (14-0-9 60.87%),9 (0.39),←,
20,"Brogan, Dean",29y 162d,110 (73-1-36 66.82%),34 (0.31),←,
7,"Burgoyne, Peter",30y 116d,217 (123-3-91 57.37%),186 (0.86),←,
27,"Carlile, Alipate",21y 24d,19 (10-0-9 52.63%),,←,
25,"Cassisi, Domenic",25y 245d,116 (72-1-43 62.50%),48 (0.41),←,
30,"Chaplin, Troy",22y 91d,50 (27-1-22 55.00%),6 (0.12),←,
35,"Cornes, Chad",28y 194d,192 (118-1-73 61.72%),154 (0.80),←,
18,"Cornes, Kane",25y 140d,149 (92-1-56 62.08%),66 (0.44),←,
33,"Ebert, Brett",24y 188d,88 (46-1-41 52.84%),135 (1.53),←,
17,"Gray, Robbie",20y 55d,8 (4-0-4 50.00%),13 (1.63),←,
5,"Lade, Brendon",31y 319d,204 (115-3-86 57.11%),161 (0.79),←,
44,"Logan, Tom",22y 327d,26 (12-0-14 46.15%),6 (0.23),23 (12-0-11 52.17%),6 (0.26)
4,"Motlop, Daniel",26y 69d,85 (38-1-46 45.29%),127 (1.49),38 (18-0-20 47.37%),74 (1.95)
16,"Pearce, Danyle",22y 47d,58 (29-0-29 50.00%),33 (0.57),←,
36,"Pettigrew, Michael",23y 69d,65 (33-0-32 50.77%),24 (0.37),←,
15,"Rodan, David",24y 229d,99 (39-0-60 39.39%),78 (0.79),34 (20-0-14 58.82%),35 (1.03)
3,"Salopek, Steven",22y 338d,72 (39-0-33 54.17%),38 (0.53),←,
9,"Surjan, Jacob",22y 283d,56 (31-0-25 55.36%),9 (0.16),←,
28,"Thurstans, Toby",27y 284d,92 (56-1-35 61.41%),50 (0.54),←,
1,"Tredrea, Warren",29y 152d,219 (129-2-88 59.36%),475 (2.17),←,
39,"Westhoff, Justin",21y 236d,25 (14-0-11 56.00%),39 (1.56),←,
21,"Wilson, Michael",31y 185d,188 (103-4-81 55.85%),51 (0.27),←,
Totals,Totals,25y 68d,2161 (1217-20-924 56.32%),1742 (0.81),,
C,"Williams, Mark",49y 277d,223 (132-2-89 59.64%),,←,
