Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
10,"Ashcroft, Marcus",21y 281d,75 (16-1-58 22.00%),47 (0.63),←,
30,"Bourke, Damian",28y 165d,104 (58-1-45 56.25%),16 (0.15),2 (0-0-2 0.00%),1 (0.50)
11,"Buckley, Nathan",20y 342d,13 (3-0-10 23.08%),11 (0.85),←,
1,"Champion, Richard",25y 80d,50 (9-1-40 19.00%),24 (0.48),←,
5,"Chapman, Nathan",18y 57d,13 (3-0-10 23.08%),4 (0.31),←,
16,"Clarke, Matthew",19y 288d,2 (0-0-2 0.00%),,←,
12,"Clarke, Troy",24y 25d,42 (7-1-34 17.86%),17 (0.40),←,
6,"Fletcher, Adrian",23y 266d,58 (28-0-30 48.28%),30 (0.52),13 (3-0-10 23.08%),10 (0.77)
29,"Francis, Fabian",19y 252d,8 (2-0-6 25.00%),8 (1.00),7 (1-0-6 14.29%),8 (1.14)
4,"Gastev, John",28y 326d,124 (38-1-85 31.05%),69 (0.56),94 (21-1-72 22.87%),38 (0.40)
2,"Green, Ashley",20y 88d,23 (5-1-17 23.91%),2 (0.09),←,
32,"Hart, Shaun",22y 47d,41 (8-1-32 20.73%),7 (0.17),←,
41,"Kennedy, Matthew",23y 149d,51 (9-0-42 17.65%),13 (0.25),←,
31,"McCormack, Brendan",23y 5d,49 (17-0-32 34.69%),34 (0.69),5 (2-0-3 40.00%),7 (1.40)
19,"McLean, Michael",28y 122d,132 (53-2-77 40.91%),37 (0.28),37 (6-0-31 16.22%),14 (0.38)
40,"McLuckie, Steven",20y 141d,15 (4-1-10 30.00%),8 (0.53),←,
24,"Merrett, Roger",33y 75d,256 (122-3-131 48.24%),313 (1.22),107 (25-1-81 23.83%),165 (1.54)
8,"Peos, Paul",25y 156d,59 (25-2-32 44.07%),37 (0.63),8 (1-0-7 12.50%),9 (1.13)
28,"Windsor, Ray",20y 326d,19 (2-1-16 13.16%),16 (0.84),←,
18,"Worsfold, Peter",22y 357d,25 (2-1-22 10.00%),20 (0.80),←,
Totals,Totals,23y 196d,1159 (411-17-731 35.46%),713 (0.62),,
C,"Walls, Robert",42y 347d,256 (125-2-129 49.22%),,57 (10-1-46 18.42%),
