Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
15,"Banik, Anthony",18y 129d,27 (9-0-18 33.33%),,←,
46,"Campbell, Wayne",18y 245d,5 (3-0-2 60.00%),2 (0.40),←,
16,"Cloke, David",36y 118d,320 (183-2-135 57.50%),314 (0.98),206 (119-2-85 58.25%),263 (1.28)
30,"Free, Tony",21y 333d,58 (19-0-39 32.76%),23 (0.40),←,
25,"Gale, Brendon",22y 312d,31 (10-0-21 32.26%),28 (0.90),←,
34,"Hogg, Jeff",24y 223d,94 (29-0-65 30.85%),172 (1.83),←,
2,"Keays, Terry",21y 23d,29 (12-0-17 41.38%),32 (1.10),9 (3-0-6 33.33%),21 (2.33)
33,"Knights, Matthew",20y 233d,54 (17-0-37 31.48%),40 (0.74),←,
4,"Lambert, Craig",22y 233d,69 (20-0-49 28.99%),23 (0.33),←,
26,"Leys, Brian",23y 108d,57 (19-0-38 33.33%),6 (0.11),←,
39,"Mrakov, John",22y 190d,6 (3-0-3 50.00%),,3 (2-0-1 66.67%),
6,"Naish, Chris",19y 241d,13 (4-0-9 30.77%),18 (1.38),←,
22,"Nichols, Trent",22y 49d,51 (15-0-36 29.41%),44 (0.86),←,
35,"Pickering, Michael",27y 177d,125 (43-0-82 34.40%),151 (1.21),←,
32,"Ryan, Des",23y 232d,47 (16-0-31 34.04%),25 (0.53),←,
17,"Smith, Craig",24y 119d,51 (12-0-39 23.53%),13 (0.25),←,
41,"Turner, Scott",20y 360d,9 (3-0-6 33.33%),,←,
12,"Underwood, Andrew",23y 316d,15 (10-0-5 66.67%),5 (0.33),3 (2-0-1 66.67%),1 (0.33)
3,"Weightman, Dale",31y 235d,239 (111-2-126 46.86%),311 (1.30),←,
20,"Young, Barry",20y 334d,32 (11-0-21 34.38%),20 (0.63),←,
Totals,Totals,23y 137d,1332 (549-4-779 41.22%),1227 (0.92),,
C,"Bartlett, Kevin",44y 81d,75 (23-0-52 30.67%),,←,
