Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details,Collingwood Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Collingwood Games (W-D-L W%),Collingwood Goals (Ave.)
13,"Adams, Taylor",22y 300d,71 (21-0-50 29.58%),26 (0.37),40 (18-0-22 45.00%),14 (0.35)
14,"Aish, James",20y 251d,41 (13-0-28 31.71%),14 (0.34),9 (5-0-4 55.56%),6 (0.67)
11,"Blair, Jarryd",26y 93d,138 (87-1-50 63.41%),106 (0.77),←,
16,"Brown, Nathan",27y 212d,124 (74-1-49 60.08%),7 (0.06),←,
32,"Cloke, Travis",29y 133d,242 (148-2-92 61.57%),437 (1.81),←,
25,"Crisp, Jack",22y 288d,56 (24-0-32 42.86%),32 (0.57),38 (17-0-21 44.74%),22 (0.58)
2,"de Goey, Jordan",20y 123d,32 (13-0-19 40.63%),15 (0.47),←,
19,"Greenwood, Levi",27y 148d,97 (48-1-48 50.00%),40 (0.41),23 (8-0-15 34.78%),14 (0.61)
4,"Grundy, Brodie",22y 92d,56 (28-0-28 50.00%),22 (0.39),←,
38,"Howe, Jeremy",26y 17d,114 (28-0-86 24.56%),83 (0.73),14 (6-0-8 42.86%),3 (0.21)
3,"Macaffer, Brent",28y 139d,77 (48-2-27 63.64%),33 (0.43),←,
17,"Marsh, Jonathon",20y 273d,9 (4-0-5 44.44%),,←,
37,"Maynard, Brayden",19y 300d,23 (8-0-15 34.78%),4 (0.17),←,
30,"Moore, Darcy",20y 173d,22 (8-0-14 36.36%),25 (1.14),←,
10,"Pendlebury, Scott",28y 191d,230 (142-2-86 62.17%),149 (0.65),←,
20,"Reid, Ben",27y 78d,118 (73-2-43 62.71%),37 (0.31),←,
22,"Sidebottom, Steele",25y 196d,157 (101-2-54 64.97%),116 (0.74),←,
28,"Sinclair, Ben",24y 289d,62 (36-0-26 58.06%),22 (0.35),←,
40,"Smith, Josh",22y 196d,12 (6-0-6 50.00%),3 (0.25),←,
7,"Treloar, Adam",23y 129d,95 (27-0-68 28.42%),56 (0.59),16 (7-0-9 43.75%),8 (0.50)
18,"Varcoe, Travis",28y 97d,171 (130-0-41 76.02%),145 (0.85),33 (16-0-17 48.48%),15 (0.45)
9,"White, Jesse",28y 189d,117 (58-2-57 50.43%),133 (1.14),46 (23-0-23 50.00%),60 (1.30)
Totals,Totals,24y 261d,2064 (1125-15-924 54.51%),1505 (0.73),,
C,"Buckley, Nathan",43y 356d,108 (59-0-49 54.63%),,←,
