Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
46,"Baldwin, Marcus",20y 280d,1 (0-0-1 0.00%),3 (3.00),←,
9,"Bizzell, Clint",24y 32d,52 (22-1-29 43.27%),41 (0.79),←,
8,"Burns, Ronnie",27y 139d,100 (53-2-45 54.00%),182 (1.82),←,
14,"Clarke, David",20y 76d,33 (15-1-17 46.97%),22 (0.67),←,
11,"Corey, Joel",18y 164d,5 (2-0-3 40.00%),2 (0.40),←,
7,"Graham, Ben",26y 271d,128 (77-1-50 60.55%),36 (0.28),←,
37,"Harley, Tom",22y 12d,31 (17-1-13 56.45%),1 (0.03),30 (16-1-13 55.00%),
32,"Hocking, Garry",31y 296d,255 (141-3-111 55.88%),230 (0.90),←,
3,"Houlihan, Adam",22y 115d,46 (28-1-17 61.96%),61 (1.33),←,
13,"Kilpatrick, Glenn",27y 336d,112 (61-1-50 54.91%),27 (0.24),86 (47-1-38 55.23%),23 (0.27)
1,"King, Steven",21y 251d,84 (43-1-40 51.79%),38 (0.45),←,
45,"Ling, Cameron",19y 154d,10 (5-1-4 55.00%),3 (0.30),←,
17,"McGrath, Tim",29y 297d,205 (121-2-82 59.51%),16 (0.08),198 (117-2-79 59.60%),16 (0.08)
39,"Milburn, Darren",23y 106d,61 (28-0-33 45.90%),36 (0.59),←,
21,"Mooney, Cameron",20y 308d,16 (12-0-4 75.00%),8 (0.50),5 (2-0-3 40.00%),6 (1.20)
27,"Sanderson, Brenton",26y 154d,123 (64-2-57 52.85%),27 (0.22),113 (62-2-49 55.75%),22 (0.19)
30,"Scarlett, Matthew",21y 55d,25 (15-0-10 60.00%),3 (0.12),←,
12,"Sholl, Brad",27y 263d,133 (74-2-57 56.39%),38 (0.29),131 (74-2-55 57.25%),38 (0.29)
4,"Snell, Jason",23y 3d,63 (33-0-30 52.38%),57 (0.90),←,
6,"Spriggs, David",19y 187d,19 (10-1-8 55.26%),5 (0.26),←,
20,"Steinfort, Carl",23y 120d,63 (32-0-31 50.79%),19 (0.30),←,
40,"Wojcinski, David",19y 316d,12 (6-0-6 50.00%),1 (0.08),←,
Totals,Totals,23y 195d,1577 (859-20-698 54.47%),856 (0.54),,
C,"Thompson, Mark",36y 254d,21 (11-1-9 54.76%),,←,
