Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
19,"Chisholm, Scott",25y 303d,64 (25-0-39 39.06%),25 (0.39),1 (1-0-0 100.00%),
8,"Farmer, Jeff",21y 276d,63 (25-0-38 39.68%),124 (1.97),←,
20,"Febey, Matthew",29y 220d,125 (59-0-66 47.20%),35 (0.28),←,
4,"Grgic, Brent",19y 170d,29 (14-0-15 48.28%),15 (0.52),←,
27,"Ingerson, Anthony",29y 165d,102 (42-0-60 41.18%),40 (0.39),65 (26-0-39 40.00%),15 (0.23)
16,"Johnstone, Travis",18y 253d,14 (7-0-7 50.00%),12 (0.86),←,
7,"Kowal, Darren",26y 282d,95 (47-0-48 49.47%),37 (0.39),←,
29,"Lamb, Chris",18y 16d,1 (1-0-0 100.00%),,←,
36,"Leoncelli, Andrew",24y 253d,43 (20-0-23 46.51%),9 (0.21),←,
45,"Longmuir, Troy",19y 306d,5 (2-0-3 40.00%),1 (0.20),←,
35,"McDonald, Anthony",26y 287d,44 (19-0-25 43.18%),19 (0.43),←,
23,"McDonald, James",22y 173d,27 (17-0-10 62.96%),14 (0.52),←,
9,"Neitz, David",24y 64d,120 (54-0-66 45.00%),174 (1.45),←,
44,"Nicholson, Alistair",21y 23d,2 (1-0-1 50.00%),,←,
37,"Ottens, Luke",22y 309d,1 (1-0-0 100.00%),,←,
43,"Rigoni, Guy",24y 243d,26 (17-0-9 65.38%),6 (0.23),←,
5,"Schwarz, David",26y 246d,93 (42-1-50 45.70%),143 (1.54),←,
10,"Seecamp, Marcus",26y 243d,123 (48-0-75 39.02%),17 (0.14),72 (30-0-42 41.67%),7 (0.10)
2,"Tingay, Stephen",28y 226d,154 (85-0-69 55.19%),76 (0.49),←,
12,"Viney, Todd",32y 362d,217 (106-1-110 49.08%),84 (0.39),←,
22,"Woewodin, Shane",22y 258d,48 (21-0-27 43.75%),14 (0.29),←,
13,"Yze, Adem",21y 187d,73 (31-0-42 42.47%),28 (0.38),←,
Totals,Totals,24y 122d,1469 (684-2-783 46.56%),873 (0.59),,
C,"Daniher, Neale",38y 40d,26 (17-0-9 65.38%),,←,
