North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
18,"Atley, Shaun",23y 217d,113 (65-0-48 57.52%),15 (0.13),←,
50,"Brown, Ben",23y 149d,37 (28-0-9 75.68%),58 (1.57),←,
10,"Cunnington, Ben",24y 292d,127 (72-0-55 56.69%),55 (0.43),←,
15,"Dal Santo, Nick",32y 55d,304 (176-5-123 58.72%),153 (0.50),44 (31-0-13 70.45%),13 (0.30)
11,"Firrito, Michael",32y 142d,257 (133-2-122 52.14%),29 (0.11),←,
43,"Gibson, Sam",29y 326d,89 (55-0-34 61.80%),40 (0.45),←,
22,"Goldstein, Todd",27y 291d,153 (85-1-67 55.88%),77 (0.50),←,
29,"Harvey, Brent",37y 339d,413 (227-3-183 55.33%),494 (1.20),←,
4,"Higgins, Shaun",28y 44d,157 (77-1-79 49.36%),170 (1.08),28 (19-0-9 67.86%),42 (1.50)
5,"Jacobs, Ben",24y 99d,73 (34-0-39 46.58%),9 (0.12),47 (29-0-18 61.70%),4 (0.09)
34,"Macmillan, Jamie",24y 207d,85 (49-0-36 57.65%),35 (0.41),←,
21,"McDonald, Luke",21y 68d,41 (27-0-14 65.85%),1 (0.02),←,
20,"Petrie, Drew",33y 185d,297 (151-3-143 51.35%),406 (1.37),←,
9,"Swallow, Andrew",28y 320d,190 (99-1-90 52.37%),76 (0.40),←,
25,"Tarrant, Robbie",26y 358d,65 (36-0-29 55.38%),41 (0.63),←,
12,"Thomas, Lindsay",28y 49d,178 (91-2-85 51.69%),285 (1.60),←,
16,"Thompson, Scott",29y 344d,163 (82-2-79 50.92%),6 (0.04),←,
30,"Waite, Jarrad",33y 73d,211 (85-4-122 41.23%),310 (1.47),27 (19-0-8 70.37%),58 (2.15)
8,"Wells, Daniel",31y 74d,228 (119-2-107 52.63%),145 (0.64),←,
32,"Wood, Mason",22y 217d,9 (5-0-4 55.56%),5 (0.56),←,
19,"Wright, Sam",25y 277d,112 (63-0-49 56.25%),56 (0.50),←,
7,"Ziebell, Jack",25y 49d,128 (67-0-61 52.34%),77 (0.60),←,
Totals,Totals,27y 356d,3430 (1826-26-1578 53.24%),2543 (0.74),,
C,"Scott, Brad",39y 350d,139 (78-0-61 56.12%),,←,
