St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Allen, Tim",7,2,8,15,,,2.0,4.0,,,,,2.0,1.0,,,,,,,,,
18,"Bowey, Brett",14,4,5,19,1,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,
3,"Burke, Nathan",14,4,7,21,,,,1.0,,,,,,,3.0,,,,,,,,
19,"Clark, Steven",2,,1,3,1,,,,,,,,1.0,2.0,,,,,,,,,
8,"Devonport, Craig",6,2,2,8,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,
22,"Dipetta, Aldo",7,,11,18,,,,1.0,,,,,2.0,1.0,,,,,,,,,
16,"Fletcher, Adrian",20,4,10,30,2,,1.0,2.0,,,,,3.0,,,,,,,,,,
36,"Fode, Gordon",8,1,5,13,,,1.0,6.0,,,,,1.0,,,,,,,,,,
6,"Grant, David",6,5,7,13,,,1.0,2.0,,,,,,,,,,,,,,,
27,"Greig, Dean",11,4,11,22,,1.0,1.0,4.0,,,,,,,,,,,,,,,
35,"Harvey, Robert",15,6,9,24,1,,,1.0,,,,,,2.0,1.0,,,,,,,,
52,"Kickett, Dale",5,1,5,10,,1.0,,5.0,,,,,,3.0,,,,,,,,,
4,"Lockett, Tony",9,7,,9,6,2.0,,1.0,,,,,2.0,2.0,,,,,,,,,
23,"Loewe, Stewart",16,8,10,26,3,3.0,,3.0,,,,,5.0,3.0,,,,,,,,,
12,"Morris, Russell",6,1,3,9,,,,1.0,,,,,3.0,1.0,,,,,,,,,
1,"Newport, Stephen",11,1,2,13,,,,1.0,,,,,2.0,2.0,,,,,,,,,
41,"Pekin, Tim",8,5,8,16,1,,,5.0,,,,,1.0,,,,,,,,,,
31,"Shanahan, Jamie",4,2,4,8,,,2.0,2.0,,,,,,,,,,,,,,,
9,"Vidovic, Lazar",8,5,6,14,,,3.0,1.0,,,,,1.0,6.0,,,,,,,,,
7,"Winmar, Nicky",11,3,4,15,2,,,1.0,,,,,1.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,188,65,118,306,17,11.0,11.0,45.0,,,,,26.0,26.0,4.0,,,,,,,,
Opposition,Opposition,167,45,90,257,18,13.0,29.0,16.0,,,,,26.0,26.0,2.0,,,,,,,,
