Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
35,"Akermanis, Jason",18y 189d,16 (8-0-8 50.00%),12 (0.75),←,
10,"Ashcroft, Marcus",23y 341d,126 (36-1-89 28.97%),74 (0.59),←,
36,"Bartlett, Trent",18y 279d,7 (4-0-3 57.14%),,←,
25,"Bews, Andrew",31y 44d,245 (127-1-117 52.04%),134 (0.55),38 (17-0-21 44.74%),2 (0.05)
1,"Champion, Richard",27y 140d,93 (27-1-65 29.57%),33 (0.35),←,
5,"Chapman, Nathan",20y 117d,42 (12-0-30 28.57%),12 (0.29),←,
16,"Clarke, Matthew",21y 348d,43 (19-0-24 44.19%),3 (0.07),←,
6,"Fletcher, Adrian",25y 326d,106 (47-0-59 44.34%),54 (0.51),61 (22-0-39 36.07%),34 (0.56)
8,"Gowers, Andrew",26y 143d,106 (66-0-40 62.26%),55 (0.52),17 (7-0-10 41.18%),1 (0.06)
32,"Hart, Shaun",24y 107d,81 (22-1-58 27.78%),55 (0.68),←,
21,"Hodges, Shane",20y 241d,4 (2-0-2 50.00%),,←,
41,"Kennedy, Matthew",25y 209d,89 (23-0-66 25.84%),21 (0.24),←,
44,"Lappin, Nigel",19y 72d,35 (15-0-20 42.86%),24 (0.69),←,
23,"Leppitsch, Justin",19y 335d,24 (9-0-15 37.50%),13 (0.54),←,
2,"McAdam, Gilbert",28y 155d,91 (48-1-42 53.30%),79 (0.87),38 (18-0-20 47.37%),31 (0.82)
7,"McIvor, Scott",29y 23d,183 (67-0-116 36.61%),89 (0.49),128 (41-0-87 32.03%),74 (0.58)
4,"McRae, Craig",21y 344d,22 (10-0-12 45.45%),26 (1.18),←,
24,"Merrett, Roger",35y 135d,295 (139-3-153 47.63%),409 (1.39),146 (42-1-103 29.11%),261 (1.79)
22,"Scott, Chris",19y 121d,32 (13-0-19 40.63%),17 (0.53),←,
3,"Voss, Michael",20y 56d,54 (21-0-33 38.89%),48 (0.89),←,
33,"White, Darryl",22y 81d,67 (23-1-43 35.07%),69 (1.03),←,
Totals,Totals,23y 303d,1761 (738-9-1014 41.91%),1227 (0.70),,
C,"Walls, Robert",45y 42d,307 (145-2-160 47.56%),,108 (30-1-77 28.24%),
