Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
24,"Adams, Marcus",26y 41d,33 (20-0-13 60.61%),4 (0.12),6 (6-0-0 100.00%),
31,"Andrews, Harris",22y 242d,93 (26-0-67 27.96%),9 (0.10),←,
43,"Answerth, Noah",20y 4d,15 (12-0-3 80.00%),2 (0.13),←,
33,"Bailey, Zac",19y 321d,23 (12-0-11 52.17%),11 (0.48),←,
7,"Berry, Jarrod",21y 186d,53 (21-0-32 39.62%),26 (0.49),←,
23,"Cameron, Charlie",25y 36d,104 (63-1-40 61.06%),151 (1.45),31 (16-0-15 51.61%),64 (2.06)
3,"Christensen, Allen",28y 83d,130 (67-0-63 51.54%),111 (0.85),65 (18-0-47 27.69%),55 (0.85)
27,"Gardiner, Darcy",23y 322d,102 (35-0-67 34.31%),5 (0.05),←,
30,"Hipwood, Eric",21y 331d,71 (26-0-45 36.62%),109 (1.54),←,
2,"Hodge, Luke",35y 56d,342 (197-2-143 57.89%),194 (0.57),37 (17-0-20 45.95%),1 (0.03)
17,"Lyons, Jarryd",27y 19d,112 (59-0-53 52.68%),61 (0.54),20 (15-0-5 75.00%),12 (0.60)
12,"Martin, Stefan",32y 266d,178 (52-1-125 29.49%),45 (0.25),121 (38-0-83 31.40%),22 (0.18)
11,"McCarthy, Lincoln",25y 292d,49 (38-0-11 77.55%),44 (0.90),20 (15-0-5 75.00%),19 (0.95)
6,"McCluggage, Hugh",21y 160d,59 (23-0-36 38.98%),38 (0.64),←,
46,"McInerney, Oscar",25y 31d,33 (17-0-16 51.52%),23 (0.70),←,
25,"McStay, Daniel",24y 47d,99 (33-0-66 33.33%),72 (0.73),←,
9,"Neale, Lachie",26y 78d,155 (80-0-75 51.61%),76 (0.49),20 (15-0-5 75.00%),9 (0.45)
16,"Rayner, Cam",19y 293d,42 (20-0-22 47.62%),38 (0.90),←,
10,"Rich, Daniel",29y 64d,203 (72-1-130 35.71%),106 (0.52),←,
5,"Robinson, Mitch",30y 64d,188 (79-1-108 42.29%),107 (0.57),88 (28-0-60 31.82%),49 (0.56)
29,"Witherden, Alex",20y 334d,49 (21-0-28 42.86%),5 (0.10),←,
15,"Zorko, Dayne",30y 182d,164 (57-0-107 34.76%),180 (1.10),←,
Totals,Totals,25y 124d,2297 (1030-6-1261 44.84%),1417 (0.62),,
C,"Fagan, Chris",58y 48d,64 (25-0-39 39.06%),,←,
