Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Jeremy",9,6,4,13,4,4.0,,3.0,,1.0,,1.0,2.0,1.0,,6.0,8.0,2.0,6.0,1.0,1.0,,79.0
3,"Coniglio, Stephen",11,4,15,26,1,,,9.0,1.0,4.0,7.0,3.0,2.0,,,11.0,15.0,,1.0,1.0,1.0,,85.0
1,"Davis, Phil",4,1,4,8,,,,5.0,2.0,,1.0,4.0,1.0,1.0,,3.0,5.0,,,7.0,,,99.0
4,"Greene, Toby",14,7,6,20,2,1.0,,4.0,2.0,3.0,,6.0,2.0,1.0,,11.0,9.0,1.0,3.0,4.0,,2.0,84.0
32,"Griffen, Ryan",10,4,9,19,,2.0,2.0,9.0,1.0,2.0,1.0,3.0,,,,3.0,17.0,,1.0,2.0,,2.0,80.0
19,"Haynes, Nick",7,6,7,14,,,,,4.0,1.0,,,,,,4.0,10.0,,,4.0,,,80.0
2,"Hopper, Jacob",7,3,7,14,,,,3.0,,5.0,1.0,6.0,1.0,1.0,,6.0,8.0,,,1.0,,1.0,60.0
17,"Johnson, Steve",15,7,7,22,,5.0,,3.0,3.0,6.0,1.0,5.0,1.0,2.0,,7.0,14.0,1.0,2.0,3.0,,,90.0
22,"Kelly, Josh",12,2,12,24,,,,5.0,3.0,4.0,1.0,1.0,1.0,1.0,,5.0,19.0,,,1.0,,1.0,81.0
37,"Lobb, Rory",10,8,6,16,,,7.0,,,3.0,,1.0,2.0,,,8.0,8.0,3.0,,3.0,,,85.0
41,"Mumford, Shane",1,,9,10,,,24.0,5.0,,3.0,1.0,3.0,,1.0,,6.0,4.0,,,4.0,,,84.0
24,"Patfull, Joel",3,4,8,11,,,,2.0,,3.0,1.0,,,,,6.0,6.0,,,2.0,,1.0,89.0
12,"Patton, Jonathon",3,3,2,5,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,3.0,3.0,,,,,,75.0
9,"Scully, Tom",9,2,10,19,2,1.0,,5.0,1.0,4.0,2.0,2.0,,,,7.0,12.0,,,3.0,1.0,,92.0
23,"Shaw, Heath",20,6,6,26,,,,1.0,8.0,3.0,,2.0,,,,10.0,11.0,2.0,,2.0,3.0,,95.0
5,"Shiel, Dylan",7,3,13,20,,,,10.0,1.0,2.0,6.0,2.0,2.0,1.0,,11.0,10.0,,,3.0,1.0,,70.0
10,"Smith, Devon",10,1,13,23,1,3.0,,10.0,3.0,5.0,4.0,4.0,1.0,1.0,,10.0,14.0,,,,4.0,,77.0
20,"Tomlinson, Adam",12,10,5,17,,,,2.0,3.0,2.0,,3.0,1.0,1.0,,6.0,10.0,2.0,,3.0,,,89.0
8,"Ward, Callan",8,2,7,15,1,,3.0,4.0,2.0,2.0,4.0,1.0,,1.0,,7.0,10.0,,,3.0,2.0,,82.0
6,"Whitfield, Lachie",14,6,13,27,1,,,6.0,2.0,2.0,2.0,4.0,,,,9.0,17.0,,,1.0,2.0,,75.0
29,"Williams, Zac",9,2,5,14,,,,6.0,4.0,4.0,1.0,4.0,2.0,1.0,,7.0,8.0,,,3.0,,,83.0
16,"Wilson, Nathan",11,5,3,14,,,,2.0,4.0,3.0,,6.0,,3.0,,4.0,9.0,1.0,,3.0,1.0,,65.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,206,92,171,377,12,19.0,36.0,96.0,44.0,64.0,34.0,62.0,19.0,17.0,,150.0,227.0,12.0,13.0,54.0,16.0,7.0,
Opposition,Opposition,205,87,180,385,7,13.0,42.0,64.0,45.0,57.0,39.0,54.0,17.0,19.0,,157.0,222.0,9.0,9.0,40.0,2.0,5.0,
