0,1,2,3,4,5,6
←,"Round: 18 Venue: M.C.G. Date: Sat, 31-Jul-1993 2:00 PM Attendance: 34439","Round: 18 Venue: M.C.G. Date: Sat, 31-Jul-1993 2:00 PM Attendance: 34439","Round: 18 Venue: M.C.G. Date: Sat, 31-Jul-1993 2:00 PM Attendance: 34439","Round: 18 Venue: M.C.G. Date: Sat, 31-Jul-1993 2:00 PM Attendance: 34439","Round: 18 Venue: M.C.G. Date: Sat, 31-Jul-1993 2:00 PM Attendance: 34439",→
←,North Melbourne,0.2.2,3.5.23,7.10.52,10.12.72,→
←,Geelong,6.6.42,13.8.86,18.13.121,25.16.166,→
←,Qrt margin,GE by 40,GE by 63,GE by 69,GE by 94,→
←,Qrt scores,GE 42-2,GE 44-21,GE 35-29,GE 45-20,→
←,Field umpires,"Michael Abbott (23), Rowan Sawers (310)","Michael Abbott (23), Rowan Sawers (310)","Michael Abbott (23), Rowan Sawers (310)","Michael Abbott (23), Rowan Sawers (310)",→
