Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
7,"Adcock, Jed",28y 183d,172 (69-2-101 40.70%),39 (0.23),←,
4,"Aish, James",18y 190d,9 (1-0-8 11.11%),2 (0.22),←,
17,"Beams, Claye",22y 258d,16 (4-0-12 25.00%),13 (0.81),←,
16,"Brown, Jonathan",32y 200d,253 (143-3-107 57.11%),587 (2.32),←,
42,"Clarke, Justin",20y 180d,23 (8-0-15 34.78%),1 (0.04),←,
33,"Close, Michael",19y 291d,4 (0-0-4 0.00%),2 (0.50),←,
26,"Cutler, Tom",19y 86d,6 (1-0-5 16.67%),2 (0.33),←,
27,"Gardiner, Darcy",18y 237d,5 (1-0-4 20.00%),,←,
41,"Golby, Mitch",22y 226d,46 (17-0-29 36.96%),6 (0.13),←,
6,"Green, Josh",21y 266d,41 (18-0-23 43.90%),49 (1.20),←,
11,"Hanley, Pearce",25y 183d,83 (27-0-56 32.53%),30 (0.36),←,
35,"Lester, Ryan",21y 264d,46 (18-0-28 39.13%),11 (0.24),←,
19,"Lisle, Jordan",23y 309d,23 (10-0-13 43.48%),16 (0.70),18 (6-0-12 33.33%),15 (0.83)
21,"Merrett, Daniel",29y 156d,159 (68-3-88 43.71%),59 (0.37),←,
39,"Paine, Jackson",20y 330d,10 (4-0-6 40.00%),10 (1.00),4 (0-0-4 0.00%),2 (0.50)
22,"Paparone, Marco",19y 256d,14 (3-0-11 21.43%),10 (0.71),←,
29,"Raines, Andrew",28y 70d,123 (43-1-79 35.37%),15 (0.12),67 (25-0-42 37.31%),14 (0.21)
30,"Redden, Jack",23y 159d,107 (38-1-68 35.98%),47 (0.44),←,
18,"Robertson, Nick",18y 348d,6 (1-0-5 16.67%),,←,
28,"Taylor, Lewis",19y 89d,9 (1-0-8 11.11%),4 (0.44),←,
13,"West, Trent",26y 212d,63 (43-0-20 68.25%),27 (0.43),9 (1-0-8 11.11%),4 (0.44)
15,"Zorko, Dayne",25y 97d,47 (19-0-28 40.43%),46 (0.98),←,
Totals,Totals,23y 26d,1265 (537-10-718 42.45%),976 (0.77),,
C,"Leppitsch, Justin",38y 228d,9 (1-0-8 11.11%),,←,
