North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
3,"Anderson, Jed",24y 92d,32 (17-0-15 53.13%),13 (0.41),22 (10-0-12 45.45%),9 (0.41)
18,"Atley, Shaun",25y 234d,161 (83-0-78 51.55%),31 (0.19),←,
50,"Brown, Ben",25y 166d,84 (46-0-38 54.76%),178 (2.12),←,
13,"Clarke, Ryan",20y 322d,28 (11-0-17 39.29%),6 (0.21),←,
10,"Cunnington, Ben",26y 309d,172 (90-0-82 52.33%),72 (0.42),←,
14,"Dumont, Trent",22y 309d,46 (15-0-31 32.61%),16 (0.35),←,
22,"Goldstein, Todd",29y 308d,197 (101-1-95 51.52%),103 (0.52),←,
39,"Hartung, Billy",23y 101d,70 (47-1-22 67.86%),32 (0.46),7 (4-0-3 57.14%),5 (0.71)
4,"Higgins, Shaun",30y 62d,189 (90-1-98 47.88%),199 (1.05),60 (32-0-28 53.33%),71 (1.18)
5,"Jacobs, Ben",26y 116d,84 (42-0-42 50.00%),11 (0.13),58 (37-0-21 63.79%),6 (0.10)
34,"Macmillan, Jamie",26y 224d,124 (65-0-59 52.42%),43 (0.35),←,
11,"McDonald, Luke",23y 85d,81 (43-0-38 53.09%),11 (0.14),←,
12,"Simpkin, Jy",20y 61d,20 (7-0-13 35.00%),13 (0.65),←,
25,"Tarrant, Robbie",29y 10d,111 (54-0-57 48.65%),42 (0.38),←,
16,"Thompson, Scott",31y 361d,207 (100-2-105 48.79%),7 (0.03),←,
28,"Turner, Kayne",22y 125d,43 (23-0-20 53.49%),34 (0.79),←,
33,"Vickers-Willis, Ed",22y 38d,14 (8-0-6 57.14%),,←,
2,"Williams, Marley",24y 287d,88 (44-0-44 50.00%),9 (0.10),20 (8-0-12 40.00%),3 (0.15)
32,"Wood, Mason",24y 234d,27 (13-0-14 48.15%),34 (1.26),←,
19,"Wright, Sam",27y 294d,117 (67-0-50 57.26%),56 (0.48),←,
7,"Ziebell, Jack",27y 66d,173 (84-0-89 48.55%),111 (0.64),←,
44,"Zurhaar, Cameron",19y 348d,7 (2-0-5 28.57%),4 (0.57),←,
Totals,Totals,25y 89d,2075 (1052-5-1018 50.70%),1025 (0.49),,
C,"Scott, Brad",42y 2d,186 (95-0-91 51.08%),,←,
