Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
12,"Astbury, David",4,5,5,9,,,,1.0,3.0,,1.0,1.0,,,,2.0,7.0,,,4.0,,,52.0
41,"Chol, Mabior",2,1,,2,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,2.0,,,75.0
9,"Cotchin, Trent",14,3,9,23,3,,,3.0,3.0,5.0,8.0,3.0,1.0,2.0,,10.0,13.0,,,,,,80.0
10,"Edwards, Shane",7,2,11,18,1,2.0,,3.0,,1.0,1.0,1.0,,,,8.0,10.0,1.0,2.0,1.0,,,81.0
5,"Ellis, Brandon",14,6,6,20,,,,1.0,2.0,4.0,1.0,1.0,,,,5.0,16.0,,,,,,83.0
43,"Elton, Todd",2,2,9,11,,,2.0,1.0,,2.0,1.0,1.0,,,,5.0,6.0,,,,,1.0,91.0
6,"Grigg, Shaun",12,9,7,19,,,,1.0,2.0,3.0,3.0,1.0,,,,3.0,16.0,1.0,,,,,77.0
2,"Grimes, Dylan",6,3,9,15,,,,1.0,1.0,,1.0,,2.0,,,9.0,6.0,2.0,,4.0,,,91.0
16,"Hampson, Shaun",2,1,3,5,1,,29.0,2.0,1.0,,2.0,2.0,2.0,1.0,,4.0,2.0,1.0,,3.0,,,85.0
14,"Houli, Bachar",12,2,11,23,,,,3.0,4.0,3.0,3.0,6.0,1.0,1.0,,9.0,12.0,,,,,,89.0
28,"Hunt, Taylor",15,8,13,28,,,,1.0,5.0,2.0,1.0,,,,,4.0,23.0,,,2.0,,2.0,78.0
23,"Lambert, Kane",10,4,7,17,,2.0,,2.0,,5.0,2.0,1.0,,,,3.0,11.0,,,2.0,,1.0,82.0
27,"Lloyd, Sam",11,4,2,13,1,,,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,4.0,10.0,,,,,,71.0
31,"Markov, Oleg",11,3,4,15,,,,1.0,4.0,3.0,1.0,5.0,1.0,1.0,,5.0,12.0,,,2.0,4.0,,70.0
4,"Martin, Dustin",20,5,13,33,,,,5.0,1.0,7.0,3.0,7.0,2.0,3.0,,10.0,21.0,,,,,,77.0
15,"Moore, Andrew",9,2,14,23,,,,,1.0,2.0,2.0,4.0,1.0,2.0,,8.0,14.0,,,,,,89.0
36,"Moore, Callum",5,3,2,7,,,,3.0,,1.0,,2.0,1.0,1.0,,3.0,5.0,,1.0,,,,76.0
18,"Rance, Alex",14,9,8,22,,,,2.0,9.0,,,7.0,4.0,3.0,,11.0,12.0,1.0,,5.0,,,97.0
8,"Riewoldt, Jack",7,6,5,12,1,2.0,1.0,,,3.0,,4.0,,1.0,,8.0,3.0,4.0,4.0,,,,93.0
17,"Rioli, Daniel",4,2,6,10,,,,5.0,,1.0,,,1.0,,,4.0,6.0,,,,,,82.0
45,"Short, Jayden",6,2,9,15,,,,3.0,1.0,1.0,,2.0,2.0,,,6.0,10.0,1.0,,,,1.0,69.0
1,"Vlastuin, Nick",3,1,13,16,,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,,6.0,10.0,1.0,,4.0,,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,190,83,166,356,7,9.0,33.0,46.0,41.0,46.0,32.0,54.0,20.0,18.0,,128.0,227.0,12.0,7.0,29.0,4.0,5.0,
Opposition,Opposition,263,142,184,447,25,14.0,33.0,55.0,38.0,73.0,36.0,54.0,18.0,20.0,6.0,140.0,310.0,15.0,18.0,36.0,7.0,19.0,
