Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Franklin, Lance",13,9,3,16,3,5.0,,2.0,,3.0,,2.0,1.0,1.0,,5.0,12.0,2.0,6.0,3.0,,,98.0
39,"Grundy, Heath",12,7,10,22,,,,2.0,2.0,2.0,,2.0,1.0,,1.0,10.0,13.0,2.0,,1.0,,,89.0
4,"Hannebery, Dan",12,6,16,28,1,,,4.0,2.0,3.0,8.0,5.0,,1.0,,17.0,12.0,,,1.0,,,86.0
9,"Hayward, Will",9,6,2,11,,2.0,,3.0,,3.0,,,1.0,,,4.0,7.0,1.0,1.0,1.0,,1.0,74.0
5,"Heeney, Isaac",17,5,14,31,,1.0,,4.0,5.0,6.0,3.0,4.0,2.0,,3.0,15.0,16.0,,,2.0,,,87.0
29,"Hewett, George",8,5,4,12,1,,,1.0,,2.0,,2.0,2.0,2.0,,4.0,8.0,1.0,1.0,,,,82.0
15,"Jack, Kieren",9,2,7,16,,1.0,,2.0,,3.0,2.0,1.0,1.0,1.0,,10.0,7.0,,,3.0,,1.0,61.0
10,"Jones, Zak",8,1,8,16,,1.0,,3.0,1.0,7.0,2.0,2.0,1.0,1.0,,5.0,11.0,,,2.0,,1.0,74.0
12,"Kennedy, Josh",15,2,22,37,1,,,3.0,,7.0,6.0,7.0,2.0,1.0,,17.0,21.0,,1.0,1.0,,,91.0
44,"Lloyd, Jake",23,10,8,31,1,,,,2.0,,2.0,2.0,1.0,,,7.0,23.0,,1.0,2.0,1.0,,91.0
31,"Marsh, Harrison",10,6,5,15,,,,,1.0,2.0,,,1.0,,,2.0,13.0,,,2.0,,,81.0
43,"Melican, Lewis",8,4,6,14,,,,2.0,2.0,1.0,,2.0,2.0,,,5.0,9.0,1.0,,5.0,,,88.0
14,"Mills, Callum",10,9,4,14,,,,3.0,1.0,1.0,,3.0,,2.0,,4.0,11.0,1.0,,6.0,,,83.0
35,"Naismith, Sam",4,1,4,8,,,33.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,,4.0,2.0,,,4.0,,1.0,65.0
28,"Newman, Nic",14,7,4,18,,,1.0,3.0,4.0,5.0,1.0,2.0,,,,4.0,14.0,1.0,,1.0,,2.0,70.0
41,"Papley, Tom",9,,12,21,2,1.0,,8.0,,7.0,2.0,1.0,1.0,,,8.0,12.0,,,2.0,,1.0,87.0
26,"Parker, Luke",15,4,8,23,1,,,8.0,1.0,8.0,5.0,2.0,,1.0,,10.0,12.0,1.0,1.0,1.0,,,85.0
24,"Rampe, Dane",8,6,8,16,,,,2.0,4.0,,,1.0,,1.0,,2.0,14.0,,,3.0,,,91.0
20,"Reid, Sam",10,10,6,16,2,2.0,,2.0,1.0,,,2.0,,,2.0,9.0,7.0,7.0,5.0,1.0,,,86.0
18,"Sinclair, Callum",5,1,11,16,,,31.0,4.0,1.0,2.0,5.0,3.0,2.0,,,10.0,6.0,,,3.0,,,67.0
40,"Smith, Nick",12,4,6,18,,,,1.0,3.0,2.0,,,1.0,,,4.0,13.0,,,5.0,,,80.0
22,"Towers, Dean",10,1,5,15,,,,3.0,,4.0,2.0,2.0,1.0,1.0,,6.0,9.0,,,1.0,,1.0,84.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,241,106,173,414,12,16.0,65.0,63.0,31.0,70.0,39.0,48.0,22.0,13.0,6.0,162.0,252.0,17.0,16.0,50.0,1.0,8.0,
Opposition,Opposition,176,65,195,371,6,6.0,16.0,71.0,50.0,39.0,31.0,54.0,13.0,22.0,,146.0,228.0,7.0,5.0,49.0,1.0,5.0,
