Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",25y 13d,58 (32-0-26 55.17%),79 (1.36),←,
21,"Barlow, Michael",24y 224d,39 (20-0-19 51.28%),26 (0.67),←,
26,"Bradley, Kepler",26y 259d,107 (37-1-69 35.05%),78 (0.73),58 (24-0-34 41.38%),64 (1.10)
15,"Crowley, Ryan",28y 146d,132 (65-0-67 49.24%),97 (0.73),←,
40,"de Boer, Matt",22y 141d,70 (34-0-36 48.57%),23 (0.33),←,
41,"Duffield, Paul",27y 175d,104 (47-0-57 45.19%),22 (0.21),←,
7,"Fyfe, Nat",20y 315d,44 (23-0-21 52.27%),35 (0.80),←,
12,"Griffin, Jonathon",26y 197d,58 (30-0-28 51.72%),13 (0.22),17 (9-0-8 52.94%),6 (0.35)
32,"Hill, Stephen",22y 89d,82 (39-0-43 47.56%),51 (0.62),←,
5,"Ibbotson, Garrick",24y 136d,95 (39-0-56 41.05%),19 (0.20),←,
37,"Johnson, Michael",27y 283d,142 (70-0-72 49.30%),54 (0.38),←,
23,"Mayne, Chris",23y 270d,74 (36-0-38 48.65%),92 (1.24),←,
18,"McPharlin, Luke",30y 241d,205 (101-0-104 49.27%),114 (0.56),193 (93-0-100 48.19%),111 (0.58)
9,"McPhee, Adam",29y 297d,216 (94-1-121 43.75%),110 (0.51),74 (35-0-39 47.30%),27 (0.36)
16,"Mundy, David",27y 9d,157 (76-0-81 48.41%),60 (0.38),←,
13,"Mzungu, Tendai",26y 152d,31 (14-0-17 45.16%),18 (0.58),←,
29,"Pavlich, Matthew",30y 211d,273 (122-0-151 44.69%),536 (1.96),←,
46,"Pearce, Clancee",21y 280d,43 (18-0-25 41.86%),26 (0.60),←,
24,"Roberton, Dylan",21y 38d,35 (21-0-14 60.00%),5 (0.14),←,
34,"Spurr, Lee",25y 2d,6 (5-0-1 83.33%),,←,
33,"Sutcliffe, Cam",20y 67d,4 (4-0-0 100.00%),1 (0.25),←,
38,"Walters, Michael",21y 204d,14 (7-0-7 50.00%),20 (1.43),←,
Totals,Totals,25y 71d,1989 (934-2-1053 46.96%),1479 (0.74),,
C,"Lyon, Ross",45y 264d,138 (86-4-48 63.77%),,17 (10-0-7 58.82%),
