St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details,St Kilda Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),St Kilda Games (W-D-L W%),St Kilda Goals (Ave.)
11,"Anderson, Dean",29y 23d,150 (84-1-65 56.33%),100 (0.67),67 (26-1-40 39.55%),26 (0.39)
14,"Bardsley, Kristian",23y 346d,54 (22-1-31 41.67%),21 (0.39),49 (20-1-28 41.84%),17 (0.35)
2,"Brown, Tony",19y 88d,32 (13-0-19 40.63%),18 (0.56),←,
3,"Burke, Nathan",26y 200d,201 (85-2-114 42.79%),73 (0.36),←,
36,"Cripps, Jason",19y 315d,10 (5-0-5 50.00%),2 (0.20),←,
34,"Daniels, Jayson",25y 187d,152 (46-1-105 30.59%),28 (0.18),94 (33-1-60 35.64%),24 (0.26)
10,"Everitt, Peter",22y 113d,67 (28-1-38 42.54%),96 (1.43),←,
35,"Harvey, Robert",25y 3d,153 (73-2-78 48.37%),89 (0.58),←,
29,"Jones, Austinn",19y 331d,40 (15-0-25 37.50%),34 (0.85),←,
22,"Lappin, Matthew",20y 189d,18 (4-1-13 25.00%),1 (0.06),←,
23,"Loewe, Stewart",28y 93d,212 (90-1-121 42.69%),416 (1.96),←,
16,"Neill, Robert",22y 232d,40 (11-0-29 27.50%),15 (0.38),19 (8-0-11 42.11%),6 (0.32)
31,"Shanahan, Jamie",28y 262d,99 (46-1-52 46.97%),,←,
13,"Sierakowski, David",21y 239d,36 (13-1-22 37.50%),3 (0.08),←,
4,"Smith, Joel",19y 113d,41 (17-0-24 41.46%),26 (0.63),←,
19,"Sziller, Steven",23y 253d,32 (13-0-19 40.63%),9 (0.28),←,
9,"Vidovic, Lazar",31y 145d,72 (35-1-36 49.31%),12 (0.17),←,
15,"Wakelin, Darryl",22y 13d,35 (13-0-22 37.14%),2 (0.06),←,
12,"Wakelin, Shane",22y 12d,45 (17-1-27 38.89%),11 (0.24),←,
7,"Winmar, Nicky",30y 334d,185 (79-1-105 42.97%),240 (1.30),←,
20,"Young, Matthew",23y 342d,39 (18-0-21 46.15%),11 (0.28),18 (9-0-9 50.00%),5 (0.28)
Totals,Totals,24y 43d,1713 (727-15-971 42.44%),1207 (0.70),,
C,"Alves, Stan",50y 94d,65 (24-1-40 37.69%),,←,
