Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",13,1,6,19,,,,1.0,,,,,1.0,1.0,,,,,,,,,
22,"Bain, David",13,2,8,21,,,,1.0,,,,,1.0,1.0,,,,,,,,,
51,"Bell, Corey",11,3,3,14,1,1.0,,1.0,,,,,,1.0,,,,,,,,,
8,"Cameron, David",12,2,4,16,1,1.0,,,,,,,,2.0,,,,,,,,,
1,"Champion, Richard",14,9,5,19,,,1.0,2.0,,,,,3.0,,,,,,,,,,
2,"Curran, Peter",11,5,1,12,1,1.0,,,,,,,,1.0,,,,,,,,,
4,"Gastev, John",11,7,6,17,,,,2.0,,,,,3.0,1.0,,,,,,,,,
38,"Gibson, Michael",,,2,2,,,,,,,,,1.0,1.0,,,,,,,,,
14,"Hamilton, Shane",12,8,6,18,2,2.0,,1.0,,,,,,1.0,,,,,,,,,
5,"Hardie, Brad",23,4,8,31,1,4.0,,1.0,,,,,3.0,1.0,,,,,,,,,
17,"Leslie, Martin",7,4,7,14,,,1.0,2.0,,,,,,2.0,,,,,,,,,
19,"McLean, Michael",15,7,11,26,,,,,,,,,1.0,1.0,,,,,,,,,
24,"Merrett, Roger",12,7,11,23,,1.0,9.0,1.0,,,,,4.0,2.0,1.0,,,,,,,,
26,"Noonan, Danny",10,2,2,12,,,,1.0,,,,,,1.0,,,,,,,,,
11,"Phillips, Brenton",12,3,8,20,,1.0,,1.0,,,,,1.0,,,,,,,,,,
6,"Rowe, Brad",8,3,5,13,,,,1.0,,,,,1.0,1.0,,,,,,,,,
30,"Ryan, Matthew",6,2,9,15,1,,,1.0,,,,,1.0,1.0,,,,,,,,,
23,"Schache, Laurence",8,5,2,10,6,,,,,,,,1.0,,,,,,,,,,
20,"Sim, Lachlan",10,3,6,16,,,,1.0,,,,,1.0,3.0,,,,,,,,,
21,"Zanotti, Mark",8,1,2,10,,,,,,,,,2.0,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,216,78,112,328,13,12.0,11.0,17.0,,,,,24.0,22.0,1.0,,,,,,,,
Opposition,Opposition,222,94,182,404,23,18.0,10.0,15.0,,,,,22.0,24.0,5.0,,,,,,,,
