Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",10,5,2,12,,,,1.0,7.0,,,2.0,,,,5.0,7.0,2.0,,6.0,,,91.0
27,"Baird, John",7,5,5,12,,,,1.0,3.0,2.0,1.0,2.0,,1.0,,2.0,10.0,,,2.0,,,76.0
16,"Brown, Leigh",1,1,1,2,,,,1.0,2.0,,,4.0,,3.0,,1.0,2.0,,,5.0,,,88.0
22,"Burton, Matthew",2,1,5,7,,,4.0,2.0,2.0,1.0,3.0,,2.0,,,6.0,1.0,1.0,,1.0,,,49.0
23,"Clayton, Shane",7,7,6,13,,,,,1.0,2.0,,,,,,2.0,11.0,,,1.0,,1.0,60.0
6,"Grant, Shannon",12,3,15,27,,,,1.0,2.0,2.0,1.0,1.0,,,,9.0,16.0,,,1.0,6.0,1.0,94.0
39,"Harding, Leigh",4,1,1,5,1,,,1.0,,2.0,,,1.0,,,4.0,1.0,,1.0,,,,72.0
29,"Harvey, Brent",15,4,4,19,1,4.0,,,,3.0,3.0,,,,,7.0,11.0,,2.0,,1.0,,96.0
21,"Jones, Corey",10,6,5,15,1,2.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,,5.0,11.0,,3.0,2.0,,,80.0
34,"King, David",15,6,3,18,5,3.0,,2.0,,3.0,3.0,,1.0,,,4.0,13.0,,3.0,2.0,,,82.0
35,"Makepeace, Troy",14,8,8,22,,,,,3.0,3.0,1.0,1.0,,,,6.0,15.0,,,3.0,,1.0,100.0
19,"Motlop, Daniel",10,5,4,14,,1.0,,2.0,1.0,3.0,,5.0,,1.0,,5.0,10.0,,,3.0,1.0,,86.0
20,"Petrie, Drew",4,1,3,7,,,,1.0,,2.0,1.0,2.0,1.0,,,5.0,3.0,,,3.0,,1.0,69.0
17,"Porter, Mark",,2,5,5,,,11.0,1.0,,1.0,,1.0,,,,4.0,1.0,1.0,,2.0,,1.0,51.0
3,"Rawlings, Brady",11,9,10,21,,,,,1.0,1.0,,1.0,,,,3.0,19.0,,,4.0,,,100.0
30,"Robbins, Ben",11,3,10,21,,,,2.0,,4.0,4.0,2.0,3.0,,,10.0,11.0,,,,,,76.0
26,"Rocca, Saverio",,,1,1,,,4.0,,,1.0,,1.0,,,,1.0,,,,3.0,,,63.0
7,"Simpson, Adam",14,7,11,25,1,1.0,3.0,2.0,1.0,8.0,3.0,1.0,,,,6.0,17.0,,,4.0,1.0,1.0,81.0
9,"Sinclair, Jess",22,8,6,28,,1.0,,,4.0,2.0,1.0,1.0,,1.0,,1.0,24.0,,,2.0,1.0,2.0,100.0
10,"Stevens, Anthony",14,9,9,23,1,1.0,,5.0,6.0,3.0,3.0,2.0,3.0,,,10.0,15.0,,2.0,,3.0,,91.0
36,"Watt, Shannon",3,3,2,5,,,,2.0,1.0,,,2.0,1.0,1.0,,3.0,3.0,,,3.0,,,100.0
8,"Wells, Daniel",13,6,8,21,1,1.0,1.0,1.0,2.0,5.0,4.0,,,,,4.0,16.0,,1.0,2.0,2.0,1.0,95.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,100,124,323,11,17.0,24.0,29.0,37.0,50.0,32.0,29.0,13.0,8.0,,103.0,217.0,4.0,12.0,49.0,15.0,9.0,
Opposition,Opposition,203,104,147,350,20,17.0,34.0,34.0,36.0,60.0,32.0,32.0,8.0,13.0,6.0,104.0,247.0,9.0,22.0,48.0,11.0,13.0,
