Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
3,"Bartram, Clint",8,5,8,16,,,,3.0,2.0,3.0,1.0,4.0,1.0,2.0,,6.0,10,,,2.0,,,89.0
6,"Bate, Matthew",7,5,6,13,2.0,,,2.0,,3.0,,3.0,1.0,2.0,,8.0,5,2.0,3.0,1.0,,1.0,86.0
43,"Bennell, Jamie",4,4,5,9,,,,2.0,1.0,,,1.0,,1.0,,,9,,,4.0,,,93.0
32,"Bruce, Cameron",13,4,14,27,1.0,,,5.0,4.0,6.0,4.0,5.0,,1.0,,8.0,18,,,1.0,2.0,2.0,86.0
25,"Cheney, Kyle",2,4,5,7,,,,3.0,,,,,1.0,,,1.0,6,,,1.0,1.0,,67.0
36,"Davey, Aaron",18,5,12,30,,,,2.0,3.0,4.0,2.0,2.0,,,,6.0,24,,,2.0,2.0,1.0,81.0
8,"Frawley, James",8,4,2,10,,,,4.0,5.0,,,1.0,,1.0,,1.0,7,1.0,,7.0,,,94.0
18,"Green, Brad",15,6,12,27,,,,3.0,,4.0,,3.0,,,,9.0,18,,,2.0,,,87.0
16,"Grimes, Jack",9,2,6,15,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,6.0,8,,,,,,83.0
39,"Jetta, Neville",3,3,5,8,1.0,,,3.0,,2.0,1.0,1.0,,1.0,,2.0,6,,1.0,1.0,,1.0,84.0
11,"Johnson, Paul",6,3,8,14,,,32.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,,4.0,9,,,3.0,,,79.0
48,"Jurrah, Liam",8,6,3,11,1.0,2.0,,3.0,1.0,3.0,,1.0,,1.0,,2.0,8,1.0,1.0,2.0,,,76.0
34,"Martin, Stefan",9,5,5,14,1.0,,8.0,,3.0,1.0,,3.0,1.0,1.0,,3.0,11,,1.0,3.0,,1.0,86.0
5,"McLean, Brock",13,1,11,24,,,,8.0,3.0,2.0,6.0,3.0,1.0,1.0,,11.0,13,,,,,,86.0
7,"Miller, Brad",8,4,5,13,2.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,,4.0,9,1.0,2.0,1.0,,,82.0
22,"Moloney, Brent",13,7,11,24,,,,5.0,1.0,2.0,10.0,3.0,,2.0,,14.0,10,,,,,,79.0
10,"Morton, Cale",3,5,11,14,,,,1.0,2.0,1.0,,1.0,,1.0,,2.0,12,,,3.0,1.0,,76.0
27,"Rivers, Jared",3,4,4,7,,,,1.0,2.0,1.0,,4.0,1.0,4.0,,2.0,5,,,8.0,,,93.0
24,"Robertson, Russell",7,2,2,9,2.0,1.0,,2.0,,1.0,,2.0,2.0,,,6.0,3,,2.0,,,1.0,74.0
12,"Sylvia, Colin",13,7,8,21,,1.0,,5.0,1.0,7.0,2.0,2.0,,2.0,,6.0,15,1.0,1.0,2.0,,3.0,78.0
4,"Watts, Jack",6,4,3,9,2.0,,,,,1.0,,4.0,,3.0,,2.0,8,,2.0,1.0,,,63.0
45,"Whelan, Matthew",4,4,6,10,,,,5.0,,2.0,2.0,2.0,1.0,1.0,,6.0,4,,,2.0,,,81.0
Totals,Totals,180,94,152,332,13.0,5.0,40.0,60.0,33.0,47.0,32.0,52.0,12.0,27.0,,109.0,218,6.0,13.0,46.0,6.0,10.0,
Opposition,Opposition,224,102,206,430,19.0,17.0,33.0,61.0,33.0,59.0,35.0,33.0,27.0,12.0,6.0,152.0,276,11.0,16.0,43.0,15.0,9.0,
