Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
37,"Anderson, Jed",19y 203d,4 (3-0-1 75.00%),1 (0.25),←,
39,"Bailey, Max",26y 305d,40 (33-0-7 82.50%),9 (0.22),←,
14,"Birchall, Grant",25y 208d,165 (107-1-57 65.15%),21 (0.13),←,
22,"Breust, Luke",22y 286d,62 (51-0-11 82.26%),110 (1.77),←,
9,"Burgoyne, Shaun",30y 307d,240 (160-1-79 66.88%),220 (0.92),83 (63-1-19 76.51%),49 (0.59)
23,"Franklin, Lance",26y 206d,179 (106-1-72 59.50%),576 (3.22),←,
6,"Gibson, Josh",29y 164d,144 (86-2-56 60.42%),2 (0.01),79 (57-1-21 72.78%),
18,"Guerra, Brent",31y 87d,252 (172-1-79 68.45%),107 (0.42),156 (103-1-52 66.35%),24 (0.15)
19,"Gunston, Jack",21y 312d,52 (36-0-16 69.23%),92 (1.77),38 (31-0-7 81.58%),72 (1.89)
20,"Hale, David",29y 94d,193 (106-2-85 55.44%),177 (0.92),64 (50-0-14 78.13%),58 (0.91)
10,"Hill, Bradley",20y 46d,25 (21-0-4 84.00%),17 (0.68),←,
15,"Hodge, Luke",29y 70d,224 (123-1-100 55.13%),155 (0.69),←,
17,"Lake, Brian",31y 178d,214 (105-2-107 49.53%),32 (0.15),17 (15-0-2 88.24%),
5,"Mitchell, Sam",30y 316d,241 (139-1-101 57.88%),57 (0.24),←,
33,"Rioli, Cyril",24y 41d,119 (80-1-38 67.65%),158 (1.33),←,
2,"Roughead, Jarryd",26y 213d,180 (109-1-70 60.83%),358 (1.99),←,
21,"Savage, Shane",22y 231d,55 (40-0-15 72.73%),37 (0.67),←,
12,"Sewell, Brad",29y 203d,186 (110-1-75 59.41%),28 (0.15),←,
26,"Shiels, Liam",22y 117d,78 (55-0-23 70.51%),21 (0.27),←,
16,"Smith, Isaac",24y 237d,58 (48-0-10 82.76%),54 (0.93),←,
24,"Stratton, Ben",24y 176d,73 (52-1-20 71.92%),1 (0.01),←,
11,"Whitecross, Brendan",23y 211d,81 (54-1-26 67.28%),38 (0.47),←,
Totals,Totals,26y 25d,2865 (1796-17-1052 62.69%),2271 (0.79),,
C,"Clarkson, Alastair",45y 119d,209 (125-1-83 60.05%),,←,
