Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game],Geelong Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ablett, Gary",17,2,4,21,4,1.0,,1.0,,3.0,6.0,2.0,1.0,,1.0,11.0,9.0,,1.0,3.0,,,93.0
3,"Bartel, Jimmy",14,6,9,23,1,,1.0,3.0,3.0,3.0,3.0,2.0,,1.0,,7.0,16.0,,1.0,1.0,,,87.0
24,"Blake, Mark",2,2,6,8,,,21.0,3.0,1.0,2.0,2.0,5.0,,4.0,,3.0,5.0,,,1.0,,,61.0
17,"Byrnes, Shannon",9,4,6,15,1,,,3.0,,4.0,,2.0,1.0,2.0,,6.0,10.0,,,2.0,,,74.0
35,"Chapman, Paul",17,6,16,33,,,,6.0,2.0,4.0,7.0,2.0,4.0,1.0,3.0,16.0,19.0,,,2.0,1.0,,74.0
11,"Corey, Joel",15,5,6,21,,,1.0,2.0,,2.0,,2.0,1.0,,,5.0,17.0,1.0,,2.0,,,82.0
44,"Enright, Corey",13,8,12,25,,1.0,,6.0,4.0,1.0,,,,,,6.0,16.0,2.0,,3.0,1.0,,89.0
26,"Hawkins, Tom",8,9,9,17,2,,9.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,8.0,9.0,2.0,2.0,4.0,,1.0,70.0
8,"Hunt, Josh",12,4,12,24,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,8.0,14.0,,,2.0,,,86.0
38,"Hunt, Taylor",10,6,6,16,,,,1.0,1.0,4.0,,,1.0,,,2.0,13.0,,,2.0,,2.0,74.0
20,"Johnson, Steve",12,6,7,19,1,1.0,,1.0,,4.0,,2.0,1.0,,,6.0,13.0,,1.0,3.0,,1.0,84.0
9,"Kelly, James",14,4,7,21,,,,6.0,5.0,4.0,3.0,5.0,1.0,4.0,,6.0,17.0,,,1.0,,,84.0
10,"Menzel, Daniel",5,3,1,6,3,,,1.0,,2.0,1.0,,1.0,,,5.0,1.0,2.0,1.0,1.0,,1.0,74.0
39,"Milburn, Darren",10,9,8,18,,,,4.0,5.0,,,,,,,5.0,12.0,,,7.0,,,90.0
21,"Mooney, Cameron",11,9,1,12,,2.0,1.0,1.0,,5.0,,,1.0,,,5.0,7.0,4.0,4.0,1.0,,3.0,86.0
31,"Podsiadly, James",11,8,1,12,4,1.0,,1.0,,3.0,,2.0,1.0,2.0,,7.0,5.0,4.0,3.0,1.0,,,84.0
30,"Scarlett, Matthew",7,4,13,20,,,,1.0,4.0,,,3.0,,2.0,,4.0,16.0,,,6.0,1.0,,100.0
14,"Selwood, Joel",16,7,11,27,,,,6.0,1.0,9.0,6.0,1.0,1.0,1.0,2.0,7.0,20.0,,,1.0,,1.0,82.0
27,"Stokes, Mathew",9,3,4,13,1,3.0,,1.0,,4.0,1.0,2.0,,1.0,,3.0,9.0,,1.0,,,,76.0
7,"Taylor, Harry",6,7,10,16,,,,,4.0,1.0,,2.0,,2.0,,6.0,10.0,4.0,,10.0,,,89.0
5,"Varcoe, Travis",8,7,6,14,1,,,7.0,1.0,3.0,,4.0,1.0,1.0,,3.0,12.0,,2.0,1.0,1.0,1.0,82.0
40,"Wojcinski, David",6,4,10,16,,1.0,,3.0,1.0,4.0,,,1.0,,,1.0,15.0,,,,2.0,,79.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,232,123,165,397,18,13.0,33.0,61.0,34.0,64.0,32.0,40.0,19.0,23.0,6.0,130.0,265.0,19.0,16.0,54.0,6.0,10.0,
Opposition,Opposition,183,79,146,329,12,7.0,37.0,48.0,42.0,49.0,36.0,45.0,23.0,19.0,,126.0,202.0,12.0,8.0,44.0,15.0,8.0,
