Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
22,"Bain, David",11,3,4,15,1,,,1.0,,,,,,,,,,,,,,,
44,"Carlson, Darren",4,1,4,8,,,,1.0,,,,,,1.0,,,,,,,,,
23,"Caton, Kevin",4,1,1,5,,,,,,,,,,,,,,,,,,,
4,"Gastev, John",20,5,10,30,,2.0,,2.0,,,,,2.0,2.0,,,,,,,,,
38,"Gibson, Michael",6,4,7,13,,,,1.0,,,,,1.0,,,,,,,,,,
5,"Hardie, Brad",14,2,1,15,,1.0,,1.0,,,,,2.0,,,,,,,,,,
9,"Ishchenko, Alex",9,8,5,14,,,19.0,,,,,,3.0,3.0,3.0,,,,,,,,
41,"Kennedy, Matthew",7,2,3,10,,,,,,,,,,2.0,,,,,,,,,
17,"Leslie, Martin",9,9,15,24,,,,2.0,,,,,,3.0,,,,,,,,,
7,"McIvor, Scott",20,9,8,28,,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,
24,"Merrett, Roger",14,11,6,20,2,3.0,1.0,1.0,,,,,3.0,1.0,2.0,,,,,,,,
28,"OBrien, Cameron",12,8,3,15,7,,1.0,,,,,,2.0,2.0,,,,,,,,,
31,"OKeeffe, David",13,4,4,17,,,,2.0,,,,,2.0,,,,,,,,,,
8,"Richardson, Michael",10,1,5,15,,,,,,,,,,,,,,,,,,,
27,"Roberts, Mark",2,2,2,4,,,,2.0,,,,,,2.0,,,,,,,,,
6,"Rowe, Brad",11,3,,11,2,1.0,,3.0,,,,,,2.0,1.0,,,,,,,,
20,"Sim, Lachlan",12,1,3,15,,,,2.0,,,,,3.0,2.0,,,,,,,,,
2,"Williams, Mark",7,1,5,12,2,,,1.0,,,,,1.0,,,,,,,,,,
37,"Withers, Mark",11,4,8,19,,2.0,,,,,,,2.0,,,,,,,,,,
21,"Zanotti, Mark",21,6,5,26,,1.0,,,,,,,1.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,217,85,99,316,14,12.0,22.0,21.0,,,,,25.0,21.0,6.0,,,,,,,,
Opposition,Opposition,195,50,99,294,13,10.0,11.0,13.0,,,,,20.0,25.0,,,,,,,,,
