Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",24y 249d,59 (36-2-21 62.71%),61 (1.03),←,
16,"Barnard, Paul",23y 152d,17 (7-0-10 41.18%),6 (0.35),6 (4-0-2 66.67%),2 (0.33)
51,"Berbakov, Peter",22y 327d,14 (8-1-5 60.71%),,←,
8,"Bewick, Darren",28y 328d,157 (97-1-59 62.10%),259 (1.65),←,
14,"Calthorpe, David",22y 332d,57 (32-2-23 57.89%),41 (0.72),←,
9,"Cockatoo-Collins, Che",21y 131d,44 (26-3-15 62.50%),57 (1.30),←,
7,"Daniher, Chris",30y 105d,102 (58-4-40 58.82%),33 (0.32),←,
38,"Denham, Sean",27y 76d,134 (78-4-52 59.70%),53 (0.40),90 (54-4-32 62.22%),32 (0.36)
22,"Doolan, Ben",23y 186d,63 (30-3-30 50.00%),10 (0.16),38 (23-2-13 63.16%),6 (0.16)
31,"Fletcher, Dustin",21y 68d,66 (43-3-20 67.42%),11 (0.17),←,
39,"Hardwick, Damien",23y 331d,40 (24-1-15 61.25%),8 (0.20),←,
1,"Harvey, Mark",31y 33d,190 (125-3-62 66.58%),167 (0.88),←,
5,"Hird, James",23y 161d,78 (46-4-28 61.54%),132 (1.69),←,
25,"Lucas, Scott",18y 197d,6 (4-0-2 66.67%),2 (0.33),←,
2,"Mercuri, Mark",22y 144d,72 (45-3-24 64.58%),100 (1.39),←,
24,"Misiti, Joe",21y 248d,78 (47-4-27 62.82%),33 (0.42),←,
10,"ODonnell, Gary",31y 63d,196 (120-4-72 62.24%),73 (0.37),←,
15,"Prior, Michael",22y 312d,23 (13-1-9 58.70%),5 (0.22),←,
12,"Symons, Michael",24y 302d,74 (45-3-26 62.84%),73 (0.99),←,
21,"Wallis, Dean",26y 322d,66 (36-1-29 55.30%),26 (0.39),←,
4,"Wanganeen, Gavin",23y 26d,117 (67-3-47 58.55%),59 (0.50),←,
Totals,Totals,24y 212d,1653 (987-50-616 59.71%),1209 (0.73),,
C,"Sheedy, Kevin",48y 203d,368 (236-5-127 64.81%),,←,
