Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Leon",9,1,6,15,,,,1.0,,,,,1.0,1.0,,,,,,,,,
16,"Croft, Matthew",1,,,1,,,3.0,1.0,,,,,,,,,,,,,,,
3,"Grant, Chris",8,6,8,16,1,1.0,,4.0,,,,,2.0,2.0,,,,,,,,,
1,"Grgic, Ilija",6,3,4,10,1,,6.0,3.0,,,,,,2.0,,,,,,,,,
37,"Hargraves, Daniel",6,3,,6,1,,,,,,,,,1.0,,,,,,,,,
6,"Johnson, Brad",8,3,5,13,3,,,2.0,,,,,,1.0,,,,,,,,,
4,"Kellett, Nigel",13,1,5,18,,2.0,,2.0,,,,,1.0,1.0,,,,,,,,,
2,"Kolyniuk, Steven",7,1,4,11,,1.0,,2.0,,,,,1.0,,,,,,,,,,
12,"Koster, Kym",1,1,3,4,,,,,,,,,,,,,,,,,,,
35,"Kretiuk, Steven",1,,3,4,,,,1.0,,,,,,1.0,,,,,,,,,
36,"Lane, Tyson",7,3,2,9,,1.0,,,,,,,,1.0,,,,,,,,,
39,"Liberatore, Tony",9,1,7,16,1,,,4.0,,,,,2.0,2.0,,,,,,,,,
44,"Osborne, Richard",3,3,3,6,,1.0,,,,,,,,2.0,,,,,,,,,
11,"Romero, Jose",17,4,3,20,1,1.0,,1.0,,,,,,1.0,,,,,,,,,
38,"Sir, Sedat",6,3,5,11,,,,2.0,,,,,1.0,3.0,,,,,,,,,
5,"Smith, Rohan",20,5,9,29,,1.0,,2.0,,,,,2.0,1.0,,,,,,,,,
8,"Southern, Daniel",7,4,12,19,,,,1.0,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",10,4,5,15,,,4.0,,,,,,2.0,2.0,,,,,,,,,
24,"Wallis, Stephen",16,6,9,25,,,1.0,2.0,,,,,2.0,,,,,,,,,,
25,"Watts, Jason",9,4,5,14,,,,3.0,,,,,1.0,,,,,,,,,,
7,"West, Scott",13,3,10,23,,3.0,,1.0,,,,,,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,59,108,285,8,14.0,14.0,32.0,,,,,15.0,25.0,,,,,,,,,
Opposition,Opposition,224,91,112,336,22,18.0,25.0,38.0,,,,,25.0,15.0,6.0,,,,,,,,
