Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Bell, Peter",8.0,2.0,11.0,19.0,,,,2.0,3.0,1.0,2.0,5.0,,2.0,,6.0,13.0,,,3,,1.0,100.0
10,"Cook, Troy",9.0,2.0,10.0,19.0,,,,8.0,6.0,3.0,4.0,1.0,1.0,1.0,,9.0,10.0,,,4,,,82.0
38,"Cunningham, Ben",7.0,2.0,3.0,10.0,2.0,1.0,,3.0,,3.0,,1.0,,,,4.0,6.0,,,4,,,56.0
33,"Farmer, Jeff",14.0,6.0,2.0,16.0,1.0,4.0,,3.0,,5.0,,5.0,1.0,4.0,,4.0,12.0,,1.0,1,2.0,1.0,73.0
27,"Gilmore, Daniel",12.0,8.0,5.0,17.0,,,,3.0,2.0,5.0,3.0,1.0,,1.0,,6.0,11.0,1.0,,5,2.0,,92.0
14,"Grover, Antoni",14.0,8.0,2.0,16.0,,1.0,,2.0,5.0,4.0,,2.0,1.0,1.0,,4.0,13.0,,,2,2.0,,96.0
42,"Haddrill, Robert",10.0,6.0,3.0,13.0,,,,,8.0,,1.0,,1.0,,,6.0,6.0,2.0,,5,,,100.0
4,"Hasleby, Paul",15.0,4.0,11.0,26.0,,2.0,,3.0,1.0,6.0,4.0,,,,2.0,8.0,16.0,,,1,,,93.0
43,"Hayden, Roger",,,,,,,,,,,,,,,,,,,,1,,,15.0
20,"Longmuir, Justin",6.0,4.0,6.0,12.0,1.0,,7.0,2.0,1.0,4.0,1.0,,1.0,,,4.0,8.0,1.0,,3,2.0,1.0,66.0
21,"Longmuir, Troy",7.0,6.0,2.0,9.0,2.0,,,,1.0,1.0,1.0,,1.0,,,4.0,5.0,2.0,1.0,1,,,65.0
8,"McManus, Shaun",16.0,5.0,6.0,22.0,,2.0,,5.0,2.0,4.0,2.0,1.0,,1.0,3.0,4.0,17.0,1.0,1.0,1,,,90.0
18,"McPharlin, Luke",18.0,13.0,5.0,23.0,,,,3.0,6.0,3.0,1.0,1.0,,,,6.0,17.0,2.0,,7,,,94.0
34,"Medhurst, Paul",13.0,5.0,,13.0,3.0,3.0,,1.0,,2.0,,1.0,,,,5.0,7.0,3.0,3.0,3,,,96.0
23,"Parker, Shane",11.0,4.0,7.0,18.0,,,,1.0,6.0,3.0,1.0,2.0,,1.0,1.0,7.0,11.0,,,6,2.0,,100.0
29,"Pavlich, Matthew",13.0,5.0,7.0,20.0,1.0,,,3.0,2.0,3.0,4.0,1.0,,,,8.0,12.0,,,2,2.0,,94.0
12,"Polak, Graham",6.0,5.0,5.0,11.0,,2.0,,,,,1.0,2.0,1.0,1.0,,5.0,6.0,1.0,1.0,3,,,90.0
31,"Sandilands, Aaron",3.0,3.0,7.0,10.0,,,17.0,1.0,,1.0,3.0,1.0,,1.0,,7.0,3.0,,,1,,,51.0
3,"Schammer, Byron",10.0,,6.0,16.0,,,,3.0,1.0,4.0,3.0,2.0,1.0,2.0,,7.0,9.0,,,1,2.0,,78.0
2,"Simmonds, Troy",6.0,6.0,1.0,7.0,2.0,,2.0,2.0,,,,,,,,2.0,6.0,1.0,2.0,3,,1.0,97.0
19,"Walker, James",8.0,3.0,12.0,20.0,,,,,,1.0,2.0,,1.0,,,8.0,12.0,,,3,,,100.0
26,"Waterhouse, Clive",3.0,3.0,3.0,6.0,,1.0,,,,3.0,,3.0,,1.0,,3.0,4.0,,1.0,2,1.0,,71.0
Totals,Totals,209.0,100.0,114.0,323.0,12.0,16.0,26.0,45.0,44.0,56.0,33.0,29.0,9.0,16.0,6.0,117.0,204.0,14.0,10.0,62,15.0,4.0,
Opposition,Opposition,193.0,96.0,83.0,276.0,7.0,12.0,26.0,36.0,44.0,54.0,24.0,37.0,16.0,9.0,,112.0,159.0,13.0,8.0,50,13.0,4.0,
