Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Adams, Marcus",7,4,7,14,,,,1.0,4.0,2.0,,4.0,1.0,2.0,,8.0,6.0,,,13.0,,,89.0
4,"Ah Chee, Callum",6,2,3,9,,,,1.0,,1.0,,1.0,,,,6.0,3.0,,,1.0,,1.0,76.0
31,"Andrews, Harris",9,7,2,11,,,,,,2.0,,2.0,,2.0,,5.0,9.0,,,10.0,,,100.0
33,"Bailey, Zac",15,4,14,29,1,,,3.0,3.0,5.0,4.0,3.0,2.0,2.0,,13.0,15.0,,,3.0,,,85.0
13,"Berry, Tom",,,,,,,,,,,,,,,,,,,,,,,
14,"Birchall, Grant",15,4,7,22,,,,,2.0,5.0,1.0,1.0,,1.0,,6.0,15.0,1.0,,3.0,,,85.0
23,"Cameron, Charlie",5,3,,5,2,3.0,,3.0,,,1.0,1.0,1.0,1.0,,6.0,2.0,1.0,3.0,3.0,,,91.0
18,"Coleman, Keidean",4,3,2,6,,1.0,,1.0,,2.0,,1.0,,,,3.0,3.0,1.0,1.0,,,,46.0
3,"Daniher, Joe",12,2,5,17,1,1.0,1.0,1.0,,3.0,1.0,4.0,5.0,3.0,,5.0,11.0,,,1.0,,,98.0
30,"Hipwood, Eric",8,6,2,10,1,2.0,,1.0,,2.0,,4.0,,1.0,,2.0,8.0,2.0,3.0,1.0,,,89.0
17,"Lyons, Jarryd",22,6,14,36,,,,12.0,1.0,5.0,4.0,5.0,1.0,,3.0,14.0,21.0,,,2.0,,,80.0
42,"Madden, James",9,4,4,13,,,,2.0,1.0,6.0,,3.0,,,,6.0,7.0,,,6.0,,,74.0
36,"Mathieson, Rhys",9,4,11,20,,1.0,,5.0,4.0,2.0,3.0,4.0,,1.0,,5.0,15.0,,,,,,66.0
11,"McCarthy, Lincoln",9,3,4,13,2,,,5.0,,3.0,,2.0,2.0,1.0,,10.0,3.0,1.0,1.0,4.0,,1.0,89.0
6,"McCluggage, Hugh",24,4,7,31,,3.0,,5.0,1.0,7.0,6.0,8.0,,2.0,1.0,12.0,18.0,,2.0,1.0,,,87.0
46,"McInerney, Oscar",6,2,6,12,,,33.0,3.0,2.0,4.0,7.0,4.0,2.0,,,7.0,5.0,1.0,1.0,3.0,,,90.0
25,"McStay, Daniel",8,5,2,10,,1.0,,1.0,,2.0,,1.0,,1.0,,3.0,7.0,2.0,2.0,2.0,,,91.0
9,"Neale, Lachie",10,1,20,30,1,,,10.0,,4.0,10.0,5.0,1.0,3.0,2.0,19.0,11.0,,,1.0,2.0,,87.0
20,"Prior, Jaxon",9,2,2,11,,1.0,,2.0,3.0,3.0,2.0,4.0,2.0,1.0,,7.0,4.0,,,,,,51.0
10,"Rich, Daniel",16,1,2,18,,,,4.0,9.0,4.0,1.0,1.0,,,,2.0,8.0,,,3.0,,,86.0
2,"Robertson, Deven",7,1,7,14,1,,,4.0,,3.0,1.0,5.0,,1.0,,9.0,6.0,,,1.0,,,68.0
5,"Robinson, Mitch",8,2,4,12,,,,4.0,3.0,2.0,1.0,2.0,1.0,,,3.0,7.0,,,2.0,,,83.0
37,"Starcevich, Brandon",8,3,4,12,,,,1.0,5.0,1.0,,3.0,2.0,1.0,,3.0,9.0,,,6.0,,,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,226,73,129,355,9,14.0,34.0,69.0,38.0,68.0,42.0,68.0,20.0,23.0,6.0,154.0,193.0,9.0,13.0,66.0,2.0,2.0,
Opposition,Opposition,210,67,127,337,6,9.0,62.0,76.0,58.0,44.0,37.0,68.0,23.0,20.0,,140.0,180.0,7.0,10.0,50.0,3.0,5.0,
