Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",28y 12d,219 (127-2-90 58.45%),287 (1.31),27 (3-0-24 11.11%),25 (0.93)
11,"Bennell, Harley",19y 237d,23 (2-0-21 8.70%),27 (1.17),←,
30,"Brown, Campbell",28y 272d,181 (76-1-104 42.27%),72 (0.40),22 (1-0-21 4.55%),8 (0.36)
28,"Caddy, Josh",19y 241d,11 (0-0-11 0.00%),7 (0.64),←,
12,"Day, Sam",19y 263d,14 (1-0-13 7.14%),10 (0.71),←,
42,"Horsley, Kyal",24y 267d,5 (0-0-5 0.00%),2 (0.40),←,
7,"Hunt, Karmichael",25y 191d,25 (2-0-23 8.00%),2 (0.08),←,
36,"Iles, Sam",24y 342d,29 (7-0-22 24.14%),11 (0.38),22 (3-0-19 13.64%),11 (0.50)
19,"Lynch, Tom",19y 208d,22 (2-0-20 9.09%),17 (0.77),←,
6,"Magin, Alik",21y 43d,4 (0-0-4 0.00%),1 (0.25),←,
51,"McQualter, Andrew",25y 352d,91 (58-2-31 64.84%),39 (0.43),2 (0-0-2 0.00%),2 (1.00)
41,"Prestia, Dion",19y 227d,26 (1-0-25 3.85%),3 (0.12),←,
35,"Rischitelli, Michael",26y 139d,139 (52-3-84 38.49%),60 (0.43),28 (3-0-25 10.71%),13 (0.46)
37,"Sexton, Alex",18y 175d,2 (0-0-2 0.00%),1 (0.50),←,
26,"Shaw, Matt",20y 111d,22 (2-0-20 9.09%),9 (0.41),←,
2,"Smith, Zac",22y 94d,29 (3-0-26 10.34%),17 (0.59),←,
25,"Stanley, Danny",24y 98d,29 (4-0-25 13.79%),20 (0.69),24 (3-0-21 12.50%),20 (0.83)
48,"Tape, Seb",19y 294d,21 (1-0-20 4.76%),,←,
21,"Taylor, Jeremy",19y 344d,6 (0-0-6 0.00%),,←,
16,"Thompson, Rory",21y 75d,10 (1-0-9 10.00%),2 (0.20),←,
14,"Warnock, Matthew",28y 53d,64 (11-1-52 17.97%),1 (0.02),9 (0-0-9 0.00%),
38,"Wilkinson, Joel",20y 179d,12 (1-0-11 8.33%),1 (0.08),←,
Totals,Totals,22y 241d,984 (351-9-624 35.67%),589 (0.60),,
C,"McKenna, Guy",43y 15d,31 (3-0-28 9.68%),,←,
