Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",32y 100d,265 (160-0-105 60.38%),135 (0.51),←,
16,"Brown, Leigh",23y 129d,120 (49-1-70 41.25%),47 (0.39),57 (30-1-26 53.51%),27 (0.47)
2,"Colbert, Leigh",30y 25d,201 (115-2-84 57.71%),64 (0.32),96 (53-1-42 55.73%),14 (0.15)
24,"Firrito, Michael",21y 217d,32 (18-0-14 56.25%),7 (0.22),←,
6,"Grant, Shannon",28y 74d,228 (131-2-95 57.89%),259 (1.14),170 (99-1-70 58.53%),221 (1.30)
31,"Hale, David",21y 41d,28 (13-0-15 46.43%),14 (0.50),←,
39,"Harding, Leigh",24y 67d,61 (33-1-27 54.92%),93 (1.52),←,
4,"Harris, Daniel",23y 53d,60 (32-1-27 54.17%),21 (0.35),←,
29,"Harvey, Brent",27y 49d,185 (109-1-75 59.19%),219 (1.18),←,
21,"Jones, Corey",24y 126d,72 (35-0-37 48.61%),78 (1.08),←,
35,"Makepeace, Troy",26y 118d,118 (62-1-55 52.97%),30 (0.25),←,
19,"Motlop, Daniel",23y 108d,47 (20-1-26 43.62%),53 (1.13),←,
20,"Petrie, Drew",22y 260d,76 (38-1-37 50.66%),63 (0.83),←,
25,"Picioane, Lance",25y 25d,74 (39-0-35 52.70%),26 (0.35),12 (9-0-3 75.00%),
30,"Pratt, Daniel",22y 103d,12 (7-0-5 58.33%),1 (0.08),9 (6-0-3 66.67%),
3,"Rawlings, Brady",24y 22d,102 (56-0-46 54.90%),43 (0.42),←,
26,"Rocca, Saverio",31y 224d,239 (111-3-125 47.07%),707 (2.96),83 (41-1-41 50.00%),193 (2.33)
7,"Simpson, Adam",29y 136d,216 (132-1-83 61.34%),67 (0.31),←,
12,"Stevens, Michael",24y 237d,54 (28-0-26 51.85%),18 (0.33),37 (20-0-17 54.05%),15 (0.41)
23,"Thompson, Nathan",27y 138d,133 (64-1-68 48.50%),225 (1.69),14 (9-0-5 64.29%),33 (2.36)
36,"Watt, Shannon",24y 218d,82 (43-1-38 53.05%),4 (0.05),←,
8,"Wells, Daniel",20y 149d,54 (29-1-24 54.63%),32 (0.59),←,
Totals,Totals,25y 119d,2459 (1324-18-1117 53.84%),2206 (0.90),,
C,"Laidley, Dani",38y 97d,58 (30-1-27 52.59%),,←,
