Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
18,"Cameron, Leon",10,3,,10,2,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
21,"Campbell, Tony",6,,,6,1,,,,,,,,1.0,,,,,,,,,,
14,"Darcy, Luke",9,3,3,12,,,9.0,1.0,,,,,,1.0,,,,,,,,,
28,"Dimattina, Paul",12,5,3,15,1,,,1.0,,,,,1.0,3.0,,,,,,,,,
32,"Ellis, Craig",7,6,7,14,,,,3.0,,,,,,,,,,,,,,,
3,"Grant, Chris",18,8,3,21,,,,,,,,,2.0,1.0,3.0,,,,,,,,
37,"Hargraves, Daniel",4,3,,4,,,,,,,,,,2.0,,,,,,,,,
13,"Jakovich, Allen",10,3,1,11,3,4.0,,,,,,,,1.0,,,,,,,,,
6,"Johnson, Brad",6,3,,6,,2.0,,,,,,,1.0,,,,,,,,,,
4,"Kellett, Nigel",12,3,7,19,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,
2,"Kolyniuk, Steven",20,4,1,21,,,,1.0,,,,,1.0,1.0,,,,,,,,,
35,"Kretiuk, Steven",11,5,2,13,,,,2.0,,,,,,,,,,,,,,,
39,"Liberatore, Tony",13,,14,27,,,,7.0,,,,,3.0,,,,,,,,,,
22,"Quill, Peter",7,1,2,9,,,,,,,,,1.0,1.0,,,,,,,,,
36,"Romero, Jose",8,4,5,13,1,,,3.0,,,,,2.0,1.0,,,,,,,,,
5,"Smith, Rohan",21,9,8,29,2,,,2.0,,,,,1.0,,2.0,,,,,,,,
24,"Wallis, Stephen",11,5,4,15,,,,1.0,,,,,1.0,,,,,,,,,,
25,"Watts, Jason",3,2,2,5,3,,,,,,,,,,,,,,,,,,
34,"West, Mark",19,5,,19,,,,3.0,,,,,2.0,2.0,,,,,,,,,
45,"Wira, Brad",12,6,4,16,1,,,1.0,,,,,1.0,,,,,,,,,,
15,"Wynd, Scott",5,3,9,14,,,11.0,,,,,,2.0,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,224,81,75,299,14,11.0,20.0,29.0,,,,,21.0,16.0,6.0,,,,,,,,
Opposition,Opposition,166,55,110,276,8,9.0,21.0,19.0,,,,,16.0,21.0,,,,,,,,,
