Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Bartram, Clint",6,4,4,10,,,,6.0,2.0,2.0,1.0,2.0,1.0,2.0,,3.0,8.0,,,4.0,,,73.0
6,"Bate, Matthew",16,9,12,28,1,1.0,,2.0,,9.0,2.0,3.0,1.0,,,7.0,21.0,,1.0,1.0,2.0,1.0,100.0
21,"Bell, Daniel",5,1,3,8,,2.0,,1.0,1.0,2.0,,2.0,,,,2.0,6.0,,,2.0,,,72.0
25,"Brown, Nathan",10,9,5,15,,,,4.0,2.0,1.0,1.0,3.0,,,,2.0,13.0,,1.0,1.0,2.0,,67.0
32,"Bruce, Cameron",5,5,12,17,,,,1.0,1.0,1.0,1.0,2.0,,,,7.0,10.0,1.0,,1.0,1.0,1.0,100.0
41,"Carroll, Nathan",8,3,13,21,,,1.0,1.0,4.0,1.0,2.0,4.0,,,,9.0,12.0,,,8.0,2.0,,100.0
30,"Godfrey, Simon",9,4,11,20,,,,3.0,1.0,5.0,5.0,,1.0,,,11.0,9.0,,1.0,1.0,,1.0,87.0
18,"Green, Brad",11,6,10,21,,1.0,,1.0,1.0,4.0,3.0,4.0,2.0,1.0,,4.0,17.0,,1.0,,,,86.0
4,"Holland, Ben",7,2,4,11,,1.0,,2.0,2.0,3.0,,2.0,1.0,,,4.0,5.0,,1.0,1.0,,,77.0
40,"Jamar, Mark",1,2,2,3,1,,9.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,43.0
2,"Jones, Nathan",10,2,8,18,1,,,3.0,3.0,3.0,2.0,,,,,5.0,13.0,,,1.0,,,59.0
23,"McDonald, James",18,8,12,30,1,,,2.0,,5.0,3.0,2.0,2.0,1.0,,10.0,20.0,,,2.0,2.0,1.0,74.0
5,"McLean, Brock",8,1,9,17,,,,3.0,1.0,3.0,7.0,2.0,2.0,1.0,,7.0,9.0,,,2.0,2.0,,64.0
9,"Neitz, David",9,4,1,10,2,,,1.0,,1.0,,4.0,1.0,2.0,,2.0,8.0,,2.0,2.0,,,97.0
27,"Rivers, Jared",7,5,6,13,1,1.0,,2.0,1.0,,,,,,,6.0,7.0,,1.0,7.0,,,100.0
24,"Robertson, Russell",8,4,2,10,,2.0,,,1.0,2.0,,2.0,,,,3.0,7.0,1.0,2.0,1.0,,1.0,79.0
12,"Sylvia, Colin",9,5,5,14,,,,3.0,1.0,3.0,1.0,2.0,,,,7.0,8.0,,,,,,88.0
10,"Ward, Daniel",8,1,10,18,,1.0,,2.0,,5.0,2.0,1.0,,,,6.0,13.0,,,4.0,1.0,1.0,78.0
31,"Wheatley, Paul",10,8,10,20,,,,1.0,5.0,4.0,,2.0,,1.0,,7.0,13.0,,,4.0,1.0,,100.0
45,"Whelan, Matthew",10,3,13,23,1,,,4.0,4.0,1.0,,4.0,1.0,2.0,,6.0,17.0,,,5.0,,,100.0
34,"White, Jeff",8,4,6,14,2,1.0,15.0,3.0,,1.0,4.0,1.0,4.0,1.0,,9.0,6.0,1.0,3.0,6.0,,,71.0
13,"Yze, Adem",13,2,1,14,,,,1.0,5.0,2.0,,4.0,1.0,1.0,,6.0,9.0,,,,,,86.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,3.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,92,159,355,10,13.0,25.0,47.0,35.0,58.0,35.0,47.0,18.0,13.0,,124.0,233.0,3.0,13.0,54.0,13.0,6.0,
Opposition,Opposition,227,132,127,354,12,8.0,29.0,51.0,48.0,47.0,24.0,46.0,13.0,18.0,6.0,107.0,245.0,10.0,10.0,53.0,22.0,6.0,
