Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
20,"Ablett, Luke",21y 293d,29 (16-0-13 55.17%),3 (0.10),←,
27,"Ball, Jason",31y 294d,172 (103-0-69 59.88%),157 (0.91),69 (40-0-29 57.97%),43 (0.62)
21,"Barry, Leo",27y 114d,145 (81-0-64 55.86%),50 (0.34),←,
42,"Bevan, Paul",19y 349d,24 (14-0-10 58.33%),7 (0.29),←,
6,"Bolton, Craig",24y 102d,77 (46-0-31 59.74%),16 (0.21),48 (29-0-19 60.42%),6 (0.13)
24,"Bolton, Jude",24y 179d,115 (59-1-55 51.74%),66 (0.57),←,
32,"Buchanan, Amon",21y 336d,22 (11-0-11 50.00%),7 (0.32),←,
28,"Crouch, Jared",26y 189d,156 (81-1-74 52.24%),34 (0.22),←,
15,"Doyle, Stephen",23y 59d,39 (23-1-15 60.26%),17 (0.44),←,
37,"Goodes, Adam",24y 246d,135 (69-1-65 51.48%),143 (1.06),←,
1,"Hall, Barry",27y 215d,153 (69-2-82 45.75%),337 (2.20),65 (35-1-29 54.62%),193 (2.97)
17,"Kennelly, Tadhg",23y 71d,75 (43-0-32 57.33%),25 (0.33),←,
31,"Kirk, Brett",27y 321d,97 (51-1-45 53.09%),45 (0.46),←,
4,"Mathews, Ben",25y 286d,134 (70-1-63 52.61%),25 (0.19),←,
11,"Maxfield, Stuart",32y 154d,284 (143-3-138 50.88%),151 (0.53),195 (108-2-85 55.90%),86 (0.44)
3,"McVeigh, Jarrad",19y 156d,20 (12-0-8 60.00%),6 (0.30),←,
23,"Nicks, Matthew",29y 120d,166 (92-1-73 55.72%),124 (0.75),←,
5,"OKeefe, Ryan",23y 230d,67 (37-0-30 55.22%),69 (1.03),←,
19,"OLoughlin, Michael",27y 203d,199 (111-2-86 56.28%),322 (1.62),←,
25,"Schauble, Andrew",27y 298d,163 (71-0-92 43.56%),34 (0.21),84 (44-0-40 52.38%),23 (0.27)
13,"Schneider, Adam",20y 121d,36 (22-0-14 61.11%),39 (1.08),←,
10,"Williams, Paul",31y 160d,275 (127-3-145 46.73%),298 (1.08),86 (46-1-39 54.07%),75 (0.87)
Totals,Totals,25y 204d,2583 (1351-17-1215 52.30%),1975 (0.76),,
C,"Roos, Paul",41y 75d,58 (35-0-23 60.34%),,←,
