Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",15,6,4,19,,,,1.0,1.0,4.0,5.0,,,,,7.0,12.0,,,,,,79.0
15,"Anderson, Noah",12,5,10,22,,1.0,,5.0,5.0,3.0,4.0,4.0,1.0,3.0,,10.0,11.0,,,3.0,,1.0,86.0
31,"Andrew, Mac",12,8,3,15,,,,1.0,4.0,,,3.0,1.0,2.0,,6.0,10.0,1.0,,7.0,,,92.0
2,"Atkins, Rory",19,3,6,25,,,,,6.0,4.0,,3.0,2.0,1.0,,2.0,14.0,,,1.0,5.0,,85.0
10,"Ballard, Charlie",9,3,2,11,,,,4.0,4.0,,,3.0,2.0,,,5.0,5.0,1.0,,5.0,,,94.0
30,"Casboult, Levi",6,6,7,13,2,1.0,2.0,3.0,,2.0,1.0,3.0,,1.0,,5.0,8.0,1.0,3.0,6.0,,1.0,98.0
25,"Collins, Sam",7,4,8,15,,,,3.0,3.0,1.0,1.0,2.0,1.0,1.0,,9.0,6.0,2.0,,5.0,,,96.0
4,"Ellis, Brandon",10,3,5,15,1,,,3.0,2.0,1.0,1.0,5.0,,,,4.0,12.0,1.0,,1.0,,,80.0
50,"Farrar, Jy",5,5,1,6,,,,8.0,1.0,2.0,,2.0,1.0,,,4.0,4.0,1.0,,2.0,1.0,,72.0
3,"Flanders, Sam",15,4,12,27,,,,3.0,,4.0,3.0,2.0,1.0,,,12.0,14.0,,1.0,1.0,,1.0,79.0
36 ↓,"Hollands, Elijah",6,3,1,7,,,,3.0,2.0,,,2.0,2.0,1.0,,3.0,6.0,,,,,,43.0
7,"Holman, Nick",2,1,7,9,,,,5.0,,,,3.0,1.0,1.0,,5.0,5.0,,,1.0,,,85.0
19,"Humphrey, Bailey",6,1,5,11,,1.0,,7.0,1.0,3.0,2.0,2.0,,1.0,,5.0,5.0,,,,,2.0,72.0
34,"King, Ben",6,4,3,9,2,1.0,,1.0,,2.0,,2.0,,,,4.0,4.0,2.0,2.0,2.0,,,86.0
23,"Lemmens, Sean",6,1,2,8,,,,1.0,2.0,1.0,,1.0,,1.0,,4.0,6.0,,,4.0,,,80.0
13,"Lukosius, Jack",11,7,,11,2,,,2.0,,3.0,,2.0,,1.0,,2.0,8.0,1.0,2.0,1.0,,,91.0
44,"Macpherson, Darcy",10,1,5,15,1,1.0,,4.0,2.0,4.0,,5.0,1.0,,,8.0,7.0,,,2.0,,,67.0
27,"Powell, Wil",17,8,3,20,,,,3.0,5.0,3.0,,3.0,2.0,1.0,,5.0,13.0,1.0,,1.0,,,65.0
41,"Rosas, Malcolm",5,5,3,8,,1.0,,5.0,1.0,4.0,1.0,3.0,,2.0,,2.0,7.0,,,1.0,1.0,,75.0
18,"Rowell, Matt",8,1,8,16,1,,,7.0,,1.0,4.0,5.0,2.0,2.0,,14.0,5.0,,,2.0,,,76.0
24,"Swallow, David",2,1,9,11,,,,7.0,1.0,1.0,4.0,4.0,,3.0,,8.0,3.0,,,,,,76.0
21 ↑,"Tsitas, James",1,1,4,5,,,,2.0,,,,1.0,,,,1.0,4.0,,,,,1.0,35.0
28,"Witts, Jarrod",10,4,9,19,,,39.0,3.0,2.0,2.0,3.0,1.0,,1.0,,11.0,8.0,2.0,,2.0,,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,85,117,317,9,7.0,41.0,81.0,42.0,45.0,29.0,61.0,17.0,22.0,,136.0,177.0,13.0,8.0,47.0,7.0,6.0,
Opposition,Opposition,236,101,145,381,13,11.0,45.0,90.0,36.0,57.0,46.0,52.0,22.0,17.0,6.0,158.0,227.0,18.0,13.0,51.0,5.0,8.0,
