Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
6,"Bate, Matthew",20y 45d,27 (13-0-14 48.15%),23 (0.85),←,
3,"Bizzell, Clint",31y 10d,160 (69-1-90 43.44%),79 (0.49),85 (37-0-48 43.53%),7 (0.08)
25,"Brown, Nathan",30y 328d,138 (64-0-74 46.38%),34 (0.25),←,
1,"Buckley, Simon",20y 81d,1 (1-0-0 100.00%),,←,
41,"Carroll, Nathan",26y 261d,55 (21-1-33 39.09%),1 (0.02),←,
36,"Davey, Aaron",24y 28d,78 (41-1-36 53.21%),110 (1.41),←,
14,"Dunn, Lynden",20y 55d,18 (9-0-9 50.00%),19 (1.06),←,
8,"Frawley, James",18y 291d,5 (3-0-2 60.00%),,←,
30,"Godfrey, Simon",26y 263d,101 (46-1-54 46.04%),22 (0.22),←,
17,"Johnson, Chris",21y 164d,17 (7-0-10 41.18%),,←,
11,"Johnson, Paul",23y 12d,23 (8-0-15 34.78%),4 (0.17),22 (7-0-15 31.82%),4 (0.18)
2,"Jones, Nathan",19y 169d,21 (6-1-14 30.95%),8 (0.38),←,
23,"McDonald, James",30y 276d,191 (90-1-100 47.38%),48 (0.25),←,
5,"McLean, Brock",21y 119d,54 (30-1-23 56.48%),26 (0.48),←,
7,"Miller, Brad",24y 2d,85 (37-1-47 44.12%),31 (0.36),←,
29,"Newton, Michael",20y 72d,2 (1-0-1 50.00%),4 (2.00),←,
15,"Petterd, Ricky",18y 349d,9 (3-0-6 33.33%),6 (0.67),←,
24,"Robertson, Russell",28y 226d,198 (99-1-98 50.25%),362 (1.83),←,
12,"Sylvia, Colin",21y 242d,46 (22-1-23 48.91%),28 (0.61),←,
10,"Ward, Daniel",29y 364d,130 (49-1-80 38.08%),31 (0.24),←,
31,"Wheatley, Paul",26y 87d,107 (56-0-51 52.34%),30 (0.28),←,
34,"White, Jeff",30y 139d,245 (118-1-126 48.37%),103 (0.42),213 (105-1-107 49.53%),85 (0.40)
Totals,Totals,24y 113d,1711 (793-12-906 46.35%),969 (0.57),,
C,"Riley, Mark",43y 271d,1 (1-0-0 100.00%),,←,
