Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",19,3.0,20.0,39,1.0,,,1.0,,,,,2.0,1.0,,,,,,,,,
35,"Baxter, Darren",25,5.0,2.0,27,1.0,1.0,,1.0,,,,,,,,,,,,,,,
6,"Campbell, Tony",5,2.0,1.0,6,,,,1.0,,,,,1.0,,,,,,,,,,
20,"Coleman, Glenn",13,9.0,11.0,24,2.0,2.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,
26,"Del-Re, Danny",13,7.0,1.0,14,5.0,4.0,,,,,,,2.0,,,,,,,,,,
32,"Foster, Peter",1,,1.0,2,,,,,,,,,1.0,,,,,,,,,,
29,"Grant, Chris",11,4.0,6.0,17,2.0,2.0,,2.0,,,,,3.0,,,,,,,,,,
7,"Hawkins, Doug",14,6.0,10.0,24,,1.0,,1.0,,,,,,1.0,3.0,,,,,,,,
10,"Hunter, Mark",14,7.0,10.0,24,,,,,,,,,3.0,1.0,,,,,,,,,
4,"Kellett, Nigel",12,2.0,8.0,20,1.0,1.0,,1.0,,,,,1.0,,2.0,,,,,,,,
21,"Kolyniuk, Steven",6,2.0,6.0,12,,2.0,,4.0,,,,,1.0,2.0,,,,,,,,,
39,"Liberatore, Tony",8,1.0,15.0,23,,,,6.0,,,,,3.0,1.0,,,,,,,,,
27,"Macpherson, Stephen",15,7.0,8.0,23,,,,2.0,,,,,2.0,1.0,1.0,,,,,,,,
25,"Mansfield, Matthew",3,,,3,,,,1.0,,,,,1.0,,,,,,,,,,
2,"Reynolds, Keenan",5,,,5,,,,,,,,,1.0,3.0,,,,,,,,,
33,"Royal, Brian",12,5.0,3.0,15,4.0,,,,,,,,,2.0,,,,,,,,,
17,"Standfield, Barry",11,4.0,4.0,15,,,1.0,2.0,,,,,,2.0,,,,,,,,,
8,"Toohey, Bernard",16,6.0,9.0,25,,,,2.0,,,,,1.0,2.0,,,,,,,,,
24,"Wallis, Stephen",13,4.0,10.0,23,,,1.0,2.0,,,,,2.0,1.0,,,,,,,,,
15,"Wynd, Scott",4,6.0,11.0,15,,,20.0,,,,,,1.0,2.0,,,,,,,,,
Totals,Totals,220,80.0,136.0,356,16.0,13.0,23.0,27.0,,,,,26.0,21.0,6.0,,,,,,,,
Opposition,Opposition,204,58.0,113.0,317,11.0,9.0,13.0,19.0,,,,,19.0,25.0,,,,,,,,,
