Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Beams, Ben",5,2,2,7,1,2.0,,,,,1.0,1.0,1.0,,,5.0,2.0,,1.0,,,,
25,"Brown, Nathan",17,2,11,28,,1.0,,1.0,5.0,4.0,2.0,,,,,12.0,17.0,,,2.0,,,
32,"Bruce, Cameron",5,2,6,11,2,,,,,3.0,1.0,1.0,,2.0,,6.0,4.0,1.0,,2.0,,,
28,"Collins, Matthew",7,1,3,10,,,,3.0,3.0,,1.0,2.0,2.0,2.0,,6.0,2.0,,,1.0,,,
21,"Febey, Steven",6,1,7,13,,,,5.0,1.0,1.0,1.0,,2.0,1.0,,8.0,6.0,,,2.0,,,
4,"Grgic, Brent",5,3,8,13,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,6.0,5.0,1.0,,,,,
27,"Ingerson, Anthony",3,3,,3,,,,,2.0,,,,,,,1.0,2.0,1.0,,1.0,,,
41,"Jolly, Darren",,,,,,,4.0,,1.0,,,,,,,,,,,,,,
36,"Leoncelli, Andrew",20,7,8,28,2,1.0,,2.0,2.0,8.0,5.0,1.0,,1.0,3.0,11.0,19.0,1.0,2.0,1.0,,,
35,"McDonald, Anthony",18,7,11,29,,,,6.0,6.0,5.0,5.0,3.0,1.0,1.0,,10.0,20.0,,,1.0,1.0,,
9,"Neitz, David",5,1,2,7,1,1.0,5.0,,,2.0,1.0,,1.0,,,5.0,2.0,1.0,,1.0,,,
8,"Nicholson, Alistair",2,2,6,8,,,1.0,1.0,,,,1.0,,,,4.0,4.0,,,1.0,,,
14,"Pitt, Steven",,,1,1,,,,,,,,,,,,,1.0,,,,,,
43,"Rigoni, Guy",13,4,4,17,,,,1.0,2.0,4.0,2.0,2.0,1.0,1.0,,8.0,8.0,,,,1.0,,
24,"Robertson, Russell",15,7,4,19,3,2.0,,1.0,,5.0,2.0,,1.0,3.0,,9.0,11.0,2.0,4.0,4.0,,,
5,"Schwarz, David",7,5,3,10,2,,3.0,,,3.0,,,,,,3.0,7.0,1.0,1.0,,,,
42,"Walsh, Peter",14,3,11,25,,,,,6.0,,1.0,8.0,1.0,2.0,2.0,9.0,12.0,,,1.0,3.0,,
10,"Ward, Daniel",10,1,3,13,,,,3.0,3.0,3.0,2.0,,1.0,1.0,,9.0,2.0,,,1.0,,,
34,"White, Jeff",15,4,8,23,,1.0,9.0,1.0,3.0,1.0,2.0,3.0,,,,8.0,15.0,,,2.0,,,
26,"Williams, Luke",4,4,5,9,,1.0,,1.0,,1.0,,2.0,,,,4.0,6.0,,3.0,1.0,,,
22,"Woewodin, Shane",8,1,7,15,,,,,,3.0,4.0,1.0,,1.0,,8.0,7.0,,,1.0,,,
13,"Yze, Adem",17,3,3,20,1,1.0,,1.0,2.0,7.0,3.0,2.0,2.0,5.0,,6.0,10.0,,1.0,1.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,196,63,113,309,12,11.0,22.0,28.0,38.0,51.0,34.0,28.0,14.0,20.0,5.0,138.0,162.0,8.0,12.0,23.0,5.0,,
Opposition,Opposition,206,59,111,317,11,14.0,35.0,47.0,29.0,57.0,39.0,32.0,20.0,14.0,1.0,155.0,155.0,17.0,11.0,18.0,3.0,,
