Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",17,5,7,24,2,1.0,,,,,,,1.0,,,,,,,,,,
22,"Bain, David",,,1,1,,,,,,,,,1.0,1.0,,,,,,,,,
30,"Bourke, Damian",3,2,2,5,1,,7.0,,,,,,,4.0,,,,,,,,,
11,"Buckley, Nathan",24,4,7,31,2,,,,,,,,2.0,,2.0,,,,,,,,
1,"Champion, Richard",12,9,8,20,,,,1.0,,,,,3.0,2.0,,,,,,,,,
5,"Chapman, Nathan",4,3,3,7,,,,1.0,,,,,,1.0,,,,,,,,,
12,"Clarke, Troy",11,2,5,16,,,,,,,,,,1.0,,,,,,,,,
6,"Fletcher, Adrian",14,8,7,21,2,,,1.0,,,,,3.0,2.0,,,,,,,,,
29,"Francis, Fabian",10,,4,14,1,2.0,,2.0,,,,,,,,,,,,,,,
4,"Gastev, John",6,2,6,12,,,,,,,,,1.0,1.0,,,,,,,,,
32,"Hart, Shaun",12,3,5,17,,1.0,,2.0,,,,,2.0,,,,,,,,,,
41,"Kennedy, Matthew",6,3,7,13,,,2.0,,,,,,1.0,1.0,,,,,,,,,
19,"McLean, Michael",9,4,10,19,,,,,,,,,1.0,2.0,,,,,,,,,
24,"Merrett, Roger",4,2,3,7,,1.0,,,,,,,1.0,,,,,,,,,,
26,"Noonan, Danny",11,5,7,18,,,,2.0,,,,,2.0,1.0,,,,,,,,,
8,"Peos, Paul",7,6,4,11,2,2.0,,1.0,,,,,,2.0,,,,,,,,,
38,"Scott, Dion",3,2,2,5,,,1.0,,,,,,,2.0,,,,,,,,,
3,"Voss, Michael",6,3,6,12,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
28,"Windsor, Ray",9,2,,9,3,,,1.0,,,,,1.0,,,,,,,,,,
18,"Worsfold, Peter",8,,4,12,,,,2.0,,,,,2.0,3.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,176,65,98,274,14,9.0,10.0,14.0,,,,,22.0,25.0,2.0,,,,,,,,
Opposition,Opposition,226,102,104,330,17,19.0,24.0,33.0,,,,,25.0,22.0,4.0,,,,,,,,
